!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	LREX' (prostate cancer) cells
!perturbation	Dexamethasone
!disease	100nM
!end_metadata
TUBA3D	0.216212
ERRFI1	0.176902
FKBP5	0.157929
MAOA	0.154621
SGK1	0.153313
RHOU	0.148805
NFKBIA	0.141425
DDIT4	0.123261
CCDC59	-0.121497
STK39	0.120240
BAMBI	-0.119791
PRR15L	0.112438
RDH10	0.107874
RHOB	0.107866
NDRG1	0.100127
ZMIZ1	0.098991
CEBPD	0.094780
ZNHIT3	-0.090522
ATAD2	0.089671
CKB	0.086835
F2RL1	0.086418
TUBA3E	0.084767
GAGE12J	0.082220
ODC1	0.080491
RNA18S5	-0.079958
PTBP1	-0.079486
KLK4	0.078741
NFIX	-0.078726
C19orf48	0.075825
EEF2K	0.075101
SNRPG	-0.072010
KLF9	0.071078
CCT8	-0.069733
SNAR-A1	-0.069086
GMNN	0.068966
IRF2BPL	-0.066395
NDUFAB1	0.065392
GLRX5	-0.064823
EPHX4	0.063554
RAB40B	-0.063362
TMEM38B	-0.062410
FLJ43681	0.059700
RNA28S5	-0.059041
PRDX6	0.058706
MPC2	0.057822
NDUFB2	-0.056105
RPL13AP20	-0.055952
RPL8	-0.054946
RPS13	-0.054924
SLC25A5	0.054441
CDK1	0.054436
ABCC4	0.054263
HSPA1B	-0.053828
SOD1	0.053087
SCARB2	0.052908
CPNE3	-0.052063
LSM2	-0.051994
SRSF9	-0.050771
ETFA	-0.050746
ACKR3	-0.050682
CCDC86	0.049876
PARP1	-0.049166
UBB	0.049044
EIF3E	0.048924
COX6C	0.048837
UBP1	-0.048792
JUND	-0.048162
GDI2	0.047807
UQCRBP1	-0.047228
EIF1B	-0.046624
PSMB1	0.045990
GAGE12H	-0.045660
NPC1	0.045535
TANC1	-0.045173
RPL13AP3	-0.044651
STEAP2	0.044596
ATP6V0E2	0.043963
SCD	-0.043353
RPS11	-0.043296
SCNN1A	0.043268
CMC2	0.043131
COX6B1	-0.042985
GLUD1	0.042824
PABPC1	0.042587
RPL6	-0.042466
HSPA8	-0.042435
AARS	0.042253
GNL2	0.042244
NDUFB10	0.042109
MYL12A	0.041741
ARL1	0.041561
CBLN2	-0.041448
RPL21	0.041417
HSP90B1	0.040983
UQCRFS1	-0.040930
ZFAND5	-0.040706
MRFAP1	0.040300
ILF2	-0.040274
DNAJA1	-0.039915
NDUFS5	-0.039631
ELOVL5	0.039328
CMBL	0.038963
RHOC	0.038490
RPL27	-0.038436
PNPO	0.038383
SLIRP	-0.038358
VPS37C	-0.038298
RPN1	0.037813
TMSB10	0.037708
GYG1	0.037706
ECI2	0.037701
CAMK2N1	-0.037694
KBTBD11	0.037610
KIF22	0.037403
ATP5B	-0.037371
FH	0.037203
PSMG2	-0.037131
CBX5	-0.036755
PQLC1	0.036744
GHITM	-0.036608
LITAF	-0.036280
RRM1	-0.035885
NAPEPLD	-0.035591
MANF	0.035412
DAD1	-0.034970
PSMC1	-0.034806
PSAP	0.034801
HSD11B2	0.034699
PACSIN2	0.034484
RPL36AL	-0.034436
TARS	-0.034432
BCL6	0.034380
ATP6V1A	-0.033972
PIGY	0.033952
PPP1CC	-0.033558
OST4	-0.033540
TMED3	-0.033536
COX7B	-0.033199
ATP1B1	-0.033120
RPS18	0.033035
SQSTM1	-0.033003
ACTB	0.032911
ATP5O	-0.032894
MTCH1	-0.032850
SUZ12	-0.032709
SRSF2	-0.032662
MT1X	0.032626
LAMC1	0.032445
HERC5	0.032428
RPS12	-0.032305
RPS3A	0.032295
MAT2A	0.032259
RPL23	0.032242
MRPS6	-0.032057
BTG1	0.032050
H3F3A	0.032042
ATP5J	-0.031826
EEF1A1	0.031727
EPN1	0.031700
SLC44A1	-0.031625
TUBA3C	0.031485
TOMM6	0.031137
DCTPP1	-0.031130
RPL11	0.031088
TOP2A	-0.030799
FAU	0.030706
CDK2AP1	0.030541
DHX15	-0.030443
MAFB	0.030374
FOXO3	0.030359
ZNF622	0.030354
CALM1	-0.030311
LASP1	-0.030310
CYB5A	0.030179
GAGE4	0.029948
NUDC	0.029856
TYMS	-0.029818
TSKU	0.029810
MSRB1	0.029770
CCNI	-0.029744
AHCY	-0.029732
SCAP	0.029728
NBPF9	-0.029680
SAE1	-0.029582
PPAP2A	0.029456
CENPN	0.029293
SLC45A3	0.029239
NKX3-1	0.029229
B2M	0.029225
MDH2	-0.029118
CIRBP	0.029108
PDCD7	0.029055
SLC37A4	0.029047
GAGE12B	0.029022
RPS21	-0.028942
DAZAP2	-0.028847
CKS2	-0.028816
H2AFZ	0.028750
BCYRN1	0.028721
CKS1B	-0.028533
TOMM7	0.028260
IRAK1	-0.028241
RPS16	-0.028211
EEF2	0.028175
RPS24	-0.027916
PFN1	0.027891
NCOA4	-0.027730
SLC25A6	-0.027718
BARD1	-0.027580
ALKBH5	-0.027546
RPA3	-0.027536
SPCS1	-0.027509
PPP2R2A	-0.027324
PRKD1	-0.027315
AURKA	-0.027275
KCNK1	0.027274
PRKCD	0.027239
ATP1A1	0.027141
MAPK6	0.027138
CSNK1G2	-0.027123
C1orf116	0.026958
PLGRKT	-0.026825
MYL12B	-0.026822
COX5A	0.026748
RPL4	0.026669
ST3GAL1	-0.026649
GAGE12C	-0.026533
HEBP2	0.026363
LOC729603	0.026314
TPI1	0.026301
EIF1	-0.026234
TTLL12	0.026176
YBX1	0.026168
GAGE12F	0.026138
MT1A	0.026130
TRIM51	0.026084
ALDH3A2	0.026073
THOC7	-0.026042
NFIB	0.025962
RPL5	0.025961
RPL18A	0.025909
YWHAQ	-0.025853
GTF2A2	-0.025679
EZR	0.025631
FASN	0.025555
LPAR3	0.025457
PPP2R1A	-0.025425
TKT	-0.025395
CSTB	-0.025382
FAM214A	0.025319
EIF3K	0.025237
RHOA	0.025207
NDUFB3	-0.025160
TMEM5	-0.025144
IMP3	-0.025127
BBX	0.025110
METAP2	-0.025041
CERS6	0.025037
PTGES3	-0.024996
HINT1	-0.024987
FAF2	-0.024937
COPS5	-0.024883
PSMB5	-0.024856
HNRNPR	-0.024849
MRPL36	0.024827
TBPL1	0.024727
FAM213A	0.024674
PTDSS1	-0.024470
SET	-0.024376
NDUFV2	0.024327
SYBU	0.024326
RBM10	0.024235
DIMT1	-0.024163
PRPSAP1	-0.024150
GNS	-0.024131
SEC61G	-0.024112
PITX1	-0.023949
UBA52	0.023916
RPL35A	-0.023837
PRC1	-0.023834
FBXO31	0.023828
ATP5E	0.023793
SF3B5	0.023763
MMD	-0.023642
CCT2	0.023457
AIF1L	-0.023456
TK1	-0.023330
FRAT2	-0.023275
GOT2	0.023174
SUMO3	-0.023081
NDUFS8	0.023057
RGS2	0.023007
CXXC5	-0.022995
YWHAH	-0.022888
SCO1	0.022688
DNAJA2	0.022665
TUFT1	0.022662
ADSL	0.022612
RN7SL1	-0.022609
FDFT1	0.022537
RPL19	0.022519
RPL3	0.022509
TYMSOS	-0.022460
AFG3L2	-0.022449
RPS4X	-0.022405
TMPRSS2	0.022200
C8orf59	-0.022118
DARS	0.022086
WBP11	-0.022076
CST3	0.022008
CHPT1	0.022003
SRP9	-0.021995
RPS15	-0.021992
TPM1	0.021989
COX7C	-0.021976
PSMB7	0.021974
VBP1	-0.021915
RPL12	-0.021859
TUBA1B	0.021841
ARHGEF2	-0.021772
RPA2	-0.021708
RPS27	-0.021693
HDDC2	-0.021569
UAP1	0.021557
LDHB	0.021371
OAZ1	0.021285
TCEA3	-0.021195
SSBP1	0.021113
TFG	-0.021102
ME1	-0.021095
SEMA6A	-0.021081
MIF	-0.021073
WASL	-0.021059
ARL6IP1	-0.020914
PRELID1	-0.020903
RPL21P28	0.020902
LIN7A	-0.020861
ZFHX3	0.020857
POGK	-0.020785
CYB5B	-0.020684
LIMCH1	0.020616
GUK1	0.020586
CHKA	0.020576
MGST2	-0.020560
CCND1	-0.020539
SHROOM3	0.020512
ADD3	-0.020469
BLOC1S6	-0.020385
C1QBP	0.020314
SAC3D1	-0.020301
MRPL1	0.020268
RPS27L	-0.020267
ROMO1	0.020227
FKTN	-0.020192
PSMC5	0.020164
SLC25A3	-0.020154
HECTD1	-0.020113
ABRACL	0.020109
ACTG1	0.020076
SLC35A5	-0.020070
TMEM256	0.020023
CAP2	0.019961
RAB9A	-0.019942
RPL10A	0.019916
DNM1L	0.019901
ATP6V0E1	0.019897
CDK19	0.019891
PAGE1	0.019886
SUN2	0.019844
SRSF7	0.019802
DNMT1	-0.019770
SNF8	0.019768
XRCC6	0.019742
HIBADH	-0.019723
RPS17	0.019712
KIAA0907	-0.019676
UBAC1	-0.019665
EIF3M	0.019642
EHF	0.019578
COPS3	0.019497
PDHB	-0.019480
CGNL1	0.019443
FTL	0.019383
TAX1BP1	0.019381
PRPF8	0.019376
TMEM144	-0.019338
RPL7	0.019317
EPRS	-0.019311
NSMCE4A	-0.019298
ATP5L	-0.019295
DDX39A	-0.019294
PSAT1	-0.019287
TMEM126A	-0.019279
TMEM126B	-0.019224
MRPS21	0.019206
APOA1BP	0.019103
COX7A2	-0.019101
DEPTOR	-0.019089
RPL27A	-0.019053
EIF3L	-0.019040
LACTB2	0.019033
NUCKS1	-0.018989
TSC22D1	0.018938
ZYX	0.018906
BNIP3	-0.018882
GTPBP4	-0.018802
RABEPK	-0.018797
LAGE3	-0.018781
KIAA1147	-0.018759
MLPH	0.018753
RHEB	-0.018745
VDAC3	-0.018738
LDHA	0.018712
MDH1	-0.018660
CAT	-0.018659
NUP88	-0.018645
CDKN3	-0.018617
TMEM251	-0.018539
ZNF207	-0.018537
AR	0.018455
RPL26	-0.018445
ECHS1	0.018399
HIST1H2BK	-0.018392
FNBP1L	0.018383
DECR1	0.018383
TERF2IP	-0.018327
C14orf166	0.018312
PTPLAD1	-0.018304
SRSF6	-0.018298
HIST1H4C	-0.018231
FAM120A	-0.018216
XPO1	-0.018190
STRAP	0.018133
GAGE2B	0.018120
TOB1	-0.018102
KDM6A	-0.018075
ANXA2P2	-0.018059
METTL25	-0.018035
MARC1	0.018017
EIF2A	-0.017996
CDCA3	-0.017984
DCXR	0.017952
SDF2L1	0.017849
BCL2L1	0.017826
KIAA1598	-0.017824
DUSP14	-0.017757
ACAT1	0.017705
TXN	-0.017693
UQCC2	0.017664
CRELD2	0.017630
PPP2R5E	-0.017626
UTP11L	-0.017570
CYC1	0.017542
CLDN12	0.017492
PLXDC2	-0.017468
WAC	-0.017434
RPL18	0.017376
RPL13AP5	-0.017357
PAK1IP1	0.017353
RPL7A	0.017347
RTCA	0.017328
RAB13	0.017328
TMEM51	-0.017320
IAH1	-0.017295
PON2	-0.017292
SARAF	0.017232
ARID5B	-0.017230
GAGE12I	0.017209
PHF21A	-0.017194
TMEM209	-0.017176
FAM115A	0.017156
SPINT2	-0.017142
KHDRBS1	-0.017131
ATP5J2	0.017115
DHCR24	0.017088
CDK4	0.017081
EFCAB11	-0.017080
GCN1L1	0.017080
GTF3C2	-0.017032
EEF1G	-0.017028
TMEM59	-0.017017
SHFM1	-0.017008
