!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	PGKS - Embryonic stem cell
!perturbation	Dexamethasone  0.1 mM
!end_metadata
MSMO1	0.061653
CDH6	0.059331
INSIG1	0.054085
SCD	0.050642
CYP51A1	0.050360
IL11	-0.049841
HAS2	-0.046853
NGF	-0.045502
LDLR	0.043958
LEFTY1	-0.041924
LSS	0.040715
FDFT1	0.040442
NSDHL	0.040035
IDI1	0.039509
DNAJB4	0.039332
HMGCS1	0.038977
PTGS2	-0.038561
TNFRSF11B	-0.038424
GML	0.036412
RDH11	0.036145
SLC35D2	-0.034977
SQLE	0.034772
EFHB	-0.034697
RRS1	-0.033975
CHAC1	0.033644
SAMD9L	-0.033088
MRPL21	-0.032570
OVOS2	0.032537
ANGPTL7	0.032196
LEFTY2	-0.032190
LPAR4	-0.032104
CISD1	-0.031750
ANKRD44	0.031297
CHRNA9	0.031124
SERPINB2	-0.030953
HSD17B7	0.030864
PCDH18	-0.030535
OR5H6	0.030472
KRT86	0.030184
SFRP2	-0.029856
NLRP10	0.029780
FADS2	0.029079
GPHB5	0.028836
C2orf47	-0.028771
OR10A3	-0.028653
SPHK1	0.028623
HMGCR	0.028564
OR52K2	0.028523
MPPED2	-0.028324
C9	0.028291
LOC100129361	-0.028286
ADM	0.027754
OAZ2	-0.027746
TRIM31	0.027549
NAALADL2	0.027403
MED21	-0.027297
GREM1	-0.027216
FDPS	0.027214
ANKRD12	-0.027208
OR7A5	0.026773
SLCO1A2	0.026734
OR10AD1	0.026589
C5orf63	-0.026098
SPRY3	-0.026042
ADAMTS1	0.026019
CCDC85A	0.025941
ICE2	-0.025905
RNF7	-0.025899
LMO4	-0.025756
CLEC4D	0.025716
USP18	0.025641
CLPSL2	0.025577
OR8G2	0.025503
IL1RL1	0.025434
HOXA13	0.025224
PDE3B	-0.025182
SLC40A1	-0.025182
KHDC1L	0.025171
CHMP4C	-0.025135
SLC7A1	0.025051
STK31	-0.024898
HTR1B	0.024886
OSR2	0.024875
PLAU	-0.024838
PPP1R17	0.024718
GIMAP1	0.024697
GTF2B	-0.024652
CPSF4L	-0.024650
TMEM54	-0.024643
C16orf86	0.024613
MVD	0.024484
PYCRL	-0.024483
SLCO4C1	-0.024415
TCEAL1	0.024361
CCDC90B	-0.024280
NRG3	0.024271
CA1	0.024206
NDUFB2	-0.024149
ATF7IP2	-0.024104
ACYP1	-0.024094
ELOVL2	-0.024073
GUCA2A	0.024063
TMPRSS11D	-0.023997
PIH1D3	0.023943
TM4SF4	0.023896
BET1	-0.023741
PDCL	-0.023671
CCDC89	0.023626
FAM185A	-0.023622
HLTF	-0.023485
ALOX5AP	-0.023421
OR5B12	0.023400
PCDHB15	0.023378
KLHL41	-0.023372
CUTA	-0.023363
GDF10	0.023339
OR4K2	0.023335
C17orf104	-0.023324
DHCR7	0.023275
CXCR4	0.023274
D2HGDH	-0.023145
BCS1L	-0.023144
LOC646862	0.023136
MFSD8	0.023012
TMEM107	-0.023008
PLEKHF1	-0.022919
PRSS1	-0.022883
LMOD2	0.022859
OBFC1	-0.022845
TMEM159	-0.022835
ACKR1	0.022822
NR2F6	-0.022818
GALNT14	-0.022720
ANKH	-0.022707
CCDC3	-0.022653
HLA-DMA	-0.022650
SMAGP	-0.022646
CD97	-0.022613
DNAH12	0.022612
PTPDC1	0.022607
HAVCR2	0.022604
MEP1B	-0.022597
KRTAP10-7	0.022597
RASSF9	-0.022574
IL1B	0.022523
TNF	0.022518
CNR2	0.022514
SEMA7A	-0.022495
PBK	-0.022489
FOXD4	0.022330
CD300LB	0.022324
TEX30	-0.022283
ASCL2	-0.022198
MYRF	-0.022183
GP1BA	0.022159
MED11	-0.022137
MSI1	-0.022134
NMI	-0.022126
STC2	0.022104
KCNJ2	0.022093
RCE1	-0.022046
TNFSF8	0.022024
ZBTB34	-0.022015
CASD1	-0.021998
PARP11	-0.021916
FAIM	-0.021895
FGF13	-0.021879
AGA	-0.021861
LOC102723475	0.021769
ID3	-0.021708
TMEM26	0.021674
ETFA	-0.021653
TRIB3	0.021641
TMEM168	-0.021624
POLE2	-0.021576
ASB17	-0.021555
FOXC1	-0.021551
MMD	-0.021539
ERBB4	0.021514
SERPING1	-0.021475
MRPS18A	-0.021455
HES6	-0.021437
COA3	-0.021405
STXBP3	-0.021390
HSPA4L	-0.021366
OR11G2	0.021356
WBP4	-0.021347
DEXI	-0.021295
AHNAK	0.021287
SORBS2	0.021282
FAM111A	-0.021276
TSGA13	0.021275
SMPX	0.021221
ITGB6	0.021182
SPINK4	0.021108
OR5AS1	-0.021063
PLAUR	-0.021051
VSTM2L	0.021039
BCO2	-0.021027
MGST3	-0.021011
DNAJC15	-0.021003
PTCHD4	0.021000
HIVEP2	-0.020986
RPS19	-0.020969
RFTN2	-0.020958
PRR11	0.020908
FIGF	-0.020893
CCL13	-0.020882
GLRX3	-0.020863
C19orf10	-0.020853
POP5	-0.020838
RXRG	-0.020830
MITF	-0.020785
CXCR3	0.020755
SNX16	-0.020752
VPS45	-0.020705
C6orf15	0.020703
RERGL	0.020681
C17orf75	0.020675
MS4A5	0.020649
BMP3	0.020614
MOCS2	-0.020587
RAPGEF4	-0.020587
ZNF143	-0.020575
SLC39A10	-0.020560
KCNK16	0.020552
CR2	0.020537
NUDT11	-0.020467
SRP9	-0.020397
UGT2A3	0.020394
CIRBP	0.020381
SOX4	-0.020357
LRRC42	-0.020350
GPR114	-0.020348
ASB16	0.020303
PLAC8	-0.020297
CHGA	-0.020284
PTH2R	-0.020269
TARBP1	-0.020262
NEK11	-0.020244
SHISA6	0.020231
CHST11	-0.020187
UCP1	0.020182
C7orf72	0.020180
AIMP2	-0.020180
ORMDL1	-0.020153
FRMPD2	0.020136
MAFF	-0.020128
TDO2	0.020127
SYT14	0.020123
GPHN	-0.020113
SELL	0.020079
PLCZ1	0.020037
PSMG3	-0.020009
PPAP2B	-0.019996
DTWD2	-0.019986
AMN1	-0.019985
TTC39C	0.019984
HINT3	-0.019936
CD8B	0.019927
RNF148	0.019923
