!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!organism	Mus musculus
!cell	chrondocytes
!perturbation	Dexamethasone
!end_metadata
ANGPTL7	0.301511
MGP	0.169914
POSTN	0.137955
ZCCHC5	0.134254
TIMP1	-0.125103
OGN	0.124368
CTGF	0.120096
HAPLN1	0.114157
ADAMTS1	0.111926
IBSP	0.110193
TSC22D3	0.103262
OMD	0.100469
LECT1	0.091213
FDX1	0.090217
H19	-0.088893
HSPB1	0.088538
LOXL3	0.087506
SGK1	0.084888
DSTN	0.081332
COL4A1	0.077337
CYTL1	0.074494
DUSP1	0.074108
PHYH	0.072622
CST3	0.071974
FABP4	0.070730
CKB	-0.070153
TGFBI	-0.068896
LDHA	-0.068304
GJA1	-0.067373
LOX	0.066951
LCN2	0.065751
RPS19	0.064801
GSN	0.064504
MYL9	0.064347
FKBP5	0.063681
RPS13	-0.063625
CXCL6	-0.062719
IGFBP4	-0.061865
COL2A1	-0.061506
ASPN	0.061112
EVA1B	0.060209
CITED2	-0.059767
RPS5	-0.059717
MATN3	0.059658
PTGIS	0.059529
RPS2	-0.059385
FN1	-0.058860
ATP1B1	0.058728
SERPINE1	0.058592
RPL11	-0.056671
LGALSL	0.056138
ADSS	-0.055736
ACTG1	-0.055522
RPL4	-0.055159
RPLP0	-0.054945
FIBIN	0.054915
LGALS3	-0.054405
TSC22D1	-0.054303
CRYAB	0.054167
CAV1	0.054100
RPL10	-0.053052
S100A10	0.052560
SCRG1	0.052379
SH3BGRL	0.052170
ISLR	0.051581
CYB5A	0.051398
RPL38	-0.051269
KRT7	0.051007
RPL10A	-0.050417
GAPDH	-0.050365
TUBA1B	-0.050258
IL1RL1	-0.050129
COL6A2	0.049668
PKM	-0.049541
PPA1	0.049303
THBS1	-0.049130
CAPN2	0.048432
IGFBP5	-0.048329
C1orf198	0.048253
SERINC5	0.048242
PRSS23	0.047821
LGALS1	-0.047018
CSRP1	0.045937
THBD	-0.045507
SFRP2	-0.045322
TPI1	-0.044486
MEST	-0.044281
COL4A2	0.043428
ENO1	-0.043367
TNFRSF11B	-0.043187
COMP	0.043047
YWHAQ	0.042632
BGN	-0.042580
RPL7	-0.041977
NRK	0.041917
RPS29	-0.041612
RPS23	-0.041125
SNTA1	0.041060
PMP22	0.040779
FABP5	0.040703
PFN1	-0.040565
COL9A1	0.040518
EPHX1	0.040248
RPL6	-0.040202
SPP1	-0.040201
TIMP3	-0.039936
SET	-0.039638
PCOLCE2	0.039138
EEF1A1	-0.039107
MANF	0.038671
EPYC	0.038441
FGFR3	0.038015
SNX7	0.037817
RPL13A	-0.037705
EGR1	-0.037684
TRIM28	-0.037605
TUBB2A	0.037353
UCMA	0.037078
C1QTNF3	0.036862
PTGS2	-0.036848
SLC39A8	0.036696
TAGLN	0.036416
GAS6	0.036356
MTM1	-0.036281
CD200	0.036207
PHLDB2	0.036089
IDH1	0.035905
OLFML3	-0.035781
CKS1B	-0.035698
BTG1	-0.035556
RPL3	-0.035517
RPL23	-0.034849
RHOJ	0.034829
PSMC4	-0.034669
RGCC	0.034592
GSK3A	-0.034589
ANXA3	0.034579
ITGBL1	0.034531
CSRP2	0.034392
GPC3	0.034321
FHL1	0.034286
NME2	-0.034187
LPAR4	0.034162
TAGLN2	-0.034005
GAS1	-0.034003
ACTA2	0.033997
COL11A2	0.033951
C2orf82	0.033873
RPS14	-0.033811
MYADM	0.033776
NFKBIA	0.033720
RPS26	-0.033665
PRELP	0.033502
SERPINH1	-0.033488
PTH1R	0.033468
VIM	-0.033378
PHLDA1	-0.033007
PIM3	0.032903
PGK1	-0.032821
NDRG2	0.032732
NME1	0.032643
RPS27A	-0.032573
COL6A1	0.032565
KLK10	-0.032360
FTH1	0.032288
MED18	0.032206
ANXA4	0.031949
MATN1	0.031848
AGPAT4	0.031615
APEX1	-0.031328
VGLL3	0.031083
SLC38A4	0.030887
H2AFZ	-0.030856
ANKH	-0.030854
F2R	0.030801
COL9A3	0.030799
SDC4	0.030787
EIF5A	-0.030483
IER3	-0.030467
GPSM2	-0.030430
EPHA2	-0.030325
COL10A1	0.030292
S100A4	0.030281
LDLRAD3	0.030269
KLF2	0.030201
ACTG2	0.030181
AKAP12	0.030092
ARHGDIA	-0.030045
ARF6	-0.029982
PPP1CA	-0.029966
DBI	0.029734
FAM46B	0.029543
KDELR3	0.029532
MAGED1	0.029478
UQCRC1	-0.029469
PAPSS2	0.029403
GPX3	0.029359
PDGFRL	0.029311
H2AFX	-0.029132
SMPD3	0.029129
SRPX	0.029052
RPS11	-0.028866
KCTD10	0.028851
DDIT4	0.028847
ADAM12	0.028817
RPL7A	-0.028796
ENO3	0.028731
RPL15	-0.028698
KRT18	-0.028375
GLUL	0.028367
PEG3	0.028311
FEN1	0.028218
RPS28	-0.028123
AP3S1	0.028054
CHST11	0.028004
PABPC1	-0.027977
GNG12	0.027765
ANXA11	0.027755
IGFBP2	0.027711
MYO1C	0.027699
RPL9	-0.027696
GOLGA7	-0.027602
PLAUR	-0.027583
CAPNS1	-0.027442
NPM1	-0.027288
ID1	-0.027288
C1QBP	-0.027261
TNS1	0.027151
WDR82	0.027074
HMGCS1	0.027072
SLC29A1	-0.026982
NID2	0.026927
COL3A1	-0.026898
PLOD3	-0.026818
