Ensg	ROGKO_DEX-1	ROGKO_DEX-2	ROGKO_DEX-3	ROGKO_PBS-1	ROGKO_PBS-2	ROGKO_PBS-3	WT_DEX-1	WT_DEX-2	WT_DEX-3	WT_PBS-1	WT_PBS-2	WT_PBS-3
ENSMUSG00000000001	1311	1163	1200	1191	1498	1200	1304	997	1138	850	1427	1353
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	32	17	19	19	18	15	21	27	36	20	17	21
ENSMUSG00000000031	5	0	0	5	1	1	9	0	4	2	1	3
ENSMUSG00000000037	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000000049	18677	17572	18269	22374	20124	16722	19797	16809	20164	13848	19454	20849
ENSMUSG00000000056	1845	1787	1750	700	790	841	1953	1454	1645	560	909	694
ENSMUSG00000000058	49	32	39	59	68	53	43	27	36	43	72	75
ENSMUSG00000000078	140	108	106	98	96	140	125	81	141	82	122	126
ENSMUSG00000000085	70	67	67	87	87	79	80	74	67	64	97	91
ENSMUSG00000000088	1804	1822	1798	1679	2112	1696	1504	1661	1401	1496	1660	1745
ENSMUSG00000000093	34	19	33	26	36	27	30	24	32	21	39	30
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	3	0	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	15	17	18	49	52	32	38	19	23	22	75	75
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	6	6	5	12	11	11	2	5	7	11	14	10
ENSMUSG00000000127	71	68	60	62	90	82	68	50	48	71	79	101
ENSMUSG00000000131	297	240	261	335	362	317	326	253	265	229	391	408
ENSMUSG00000000134	256	236	227	220	338	281	319	197	266	213	316	320
ENSMUSG00000000142	37	34	50	83	65	37	42	64	35	41	79	115
ENSMUSG00000000148	73	78	61	104	112	78	100	84	64	67	94	125
ENSMUSG00000000149	791	846	910	1013	1248	1030	625	890	570	916	1199	1364
ENSMUSG00000000154	583	667	625	707	785	689	782	652	414	517	694	782
ENSMUSG00000000157	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	252	219	247	258	354	287	241	242	211	267	317	328
ENSMUSG00000000167	1	5	1	10	6	1	4	4	3	9	9	3
ENSMUSG00000000168	796	662	703	596	699	547	863	598	709	434	764	756
ENSMUSG00000000171	2529	2426	2572	2540	3037	2340	2370	2120	2118	1829	2791	2677
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	42	41	52	123	143	70	51	45	49	75	114	169
ENSMUSG00000000194	224	211	218	220	272	244	297	249	175	190	281	238
ENSMUSG00000000197	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	6	4	1	5	0	5	8	8	4	17	3	3
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	1	0	0	0	0	0	0	2	0	0
ENSMUSG00000000223	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000244	1	2	2	6	0	5	6	0	3	2	1	4
ENSMUSG00000000247	22	17	16	19	19	7	17	21	29	12	14	13
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	3	0	3	11	15	7	5	2	5	8	11	14
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	90	75	88	65	104	72	105	65	84	54	96	83
ENSMUSG00000000275	773	758	747	1040	1295	938	987	731	710	702	1114	1205
ENSMUSG00000000276	18	20	21	37	32	26	34	17	24	24	36	38
ENSMUSG00000000278	379	379	320	591	505	419	468	328	401	352	481	635
