!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2OSGR  cells
!perturbation	Dexamethasone
!disease	Osteosarcoma - 2 hrs
!end_metadata
PDK4	0.171802
FAM90A1	0.165010
TXNIP	0.125612
TIPARP	0.122465
KCNA5	0.109174
SPINK13	0.098431
F3	0.093893
IER3	-0.090114
MSX2	0.088684
HBEGF	-0.078918
RGS2	0.077425
NTF3	0.073083
ZNF57	0.072385
CNKSR3	0.071261
CLCF1	-0.069293
IRF8	0.067743
ZCCHC5	0.065986
PIM1	-0.065212
RNASE12	0.064495
IL11	-0.062889
LIF	-0.062308
SMIM3	0.062224
PHACTR3	0.061966
ARC	0.061237
TUBA3D	0.059406
TMEM100	0.058580
NFKBIA	0.058410
KRTAP13-2	0.058134
S100P	0.058131
HES1	-0.057391
ZFP36	0.056894
PLK2	-0.056083
RHOB	0.054788
APOLD1	0.054136
NAB2	-0.053033
PNLIP	0.052861
CCL2	-0.052154
BCL3	-0.051360
CRYGC	0.051277
BHLHE40	-0.050733
SHISA2	0.050477
BCL6	0.049737
CRISPLD2	0.049541
NET1	0.049029
KLF15	0.048617
FAM65B	-0.048529
ASPHD2	0.048227
RAB7B	-0.047434
FAM46A	0.046666
JUNB	-0.045688
FLRT3	0.045636
TNFAIP3	0.045435
OR7A5	0.045343
ZNF503	-0.045256
TRIM47	-0.044794
HELZ2	0.044137
FOXD1	-0.044075
FAM110D	-0.044057
CSF2	-0.044019
RGS4	-0.043917
ID1	-0.043810
PGF	0.043617
SOX18	-0.043170
TSC22D3	0.043012
MUM1L1	0.042492
GADD45B	-0.042304
BHLHE41	-0.042209
KRT34	-0.041412
SIX4	-0.041332
ZFP82	-0.041318
OGFRL1	0.041249
SLC46A3	0.041231
TGFBR3	0.041123
SMAD7	-0.040677
ENC1	-0.040275
HTRA4	0.039989
ID3	-0.039989
NKX3-2	-0.039645
ADPRM	0.039624
BTG2	0.039374
SDPR	0.038962
SNN	0.038697
WNT5A	0.038676
SGK223	-0.038536
SGK1	0.037693
ART3	0.037584
DLL1	0.037342
SYBU	0.037156
GPER1	0.036990
C10orf10	0.036657
AXIN2	-0.036484
ZNF792	-0.036370
PLEKHA7	0.036324
S1PR5	-0.036181
ZBTB46	-0.035857
HOXC8	-0.035685
NKD1	0.035513
NAT1	0.035488
C8orf58	-0.035408
IRF2BP2	-0.035388
CXCL8	-0.035157
EDN2	0.034977
PLEKHG3	-0.034926
CLDN1	-0.034912
SLC2A14	0.034811
IP6K3	0.034770
PLAU	-0.034369
GPR1	0.034137
SMAD6	-0.033913
ZNF189	0.033801
NFKBIE	-0.033248
CACNA1I	0.033236
RELB	-0.033079
SOCS3	-0.032934
ZFAND5	0.032914
CA4	0.032860
KCNA4	0.032739
RDH10	-0.032717
IRF1	-0.032631
SERTAD4	-0.032531
CXXC5	-0.032457
TF	0.032291
RGS19	0.031669
NDRG1	0.031604
C3orf70	0.031599
KCTD11	-0.031198
MAMLD1	-0.031172
RHOU	0.031159
FOSL1	-0.030996
DNASE1L3	0.030932
TLE3	0.030751
DRD1	-0.030748
C1orf132	0.030728
ACTL8	0.030700
CYR61	-0.030682
CCDC126	0.030663
SLC2A3	0.030594
MNT	-0.030561
CYTH1	0.030522
SCG5	-0.030435
ATXN7L2	-0.030359
APOBEC2	0.030295
NR0B1	0.030063
CX3CL1	-0.030032
MMP25	0.030008
TRIB1	-0.029968
PDZD8	0.029918
