!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2OSGR  cells
!perturbation	Dexamethasone
!disease	Osteosarcoma - 24 hrs
!end_metadata
PNLIP	0.098471
ART3	0.092435
SPINK13	0.092331
PDK4	0.080858
FAM107A	0.073769
CCL2	-0.070228
ABCC8	0.068084
TEDDM1	0.066766
TUBA3D	0.062646
DNER	0.061320
SLC25A18	0.061232
NKD1	0.061021
SLC6A3	0.060987
ACTL8	0.060387
FMO5	0.059936
MUM1L1	0.059034
KRT81	-0.056844
OR7A5	0.056551
CLPSL2	0.056522
CLPSL1	0.056154
EMP1	-0.055947
SYBU	0.055022
OLAH	0.054936
CST2	0.054449
CLDN1	-0.054327
TIPARP	0.054163
KRT75	-0.052211
PHACTR3	0.051729
COL15A1	0.051399
FOXS1	-0.051022
PPEF1	0.050993
HBEGF	-0.050881
TGFBI	-0.050816
FAM105A	0.050429
MYEOV	-0.050325
KLF15	0.049867
TXNIP	0.049846
NDUFB1	0.049711
PROS1	0.049630
TUBA4A	-0.049263
UOX	0.048803
LIMA1	-0.048264
CIDEC	0.048261
APOBEC2	0.048231
GHR	0.048011
SLC46A3	0.047981
CX3CL1	-0.047613
GPR64	0.047541
IER3	-0.047510
KRT80	-0.047135
ALOX5AP	0.047091
CNTNAP2	-0.046691
KRT34	-0.046666
CRTAC1	0.046452
NLRP5	0.046333
SLAMF8	0.046202
EVA1A	-0.045780
ZP2	0.045522
SESN1	0.045448
KIAA1324	-0.045440
ADORA2B	-0.043908
TUBA3C	0.043786
MARCH4	-0.043646
DPEP1	0.043527
CXXC5	-0.043488
SFTA1P	-0.043433
GALNT18	0.043099
CRISPLD2	0.043024
IFI44L	0.042816
ENC1	-0.042728
ADAMTS8	0.042703
EDN3	0.042639
NRCAM	0.042552
SLCO2A1	-0.042475
CNN1	-0.042354
NUDT16	0.042352
MORC1	0.042218
CLEC1A	0.042192
GPR115	0.041967
SERTAD4	-0.041811
ETNK2	0.041792
TRIM47	-0.041733
PHLDB2	-0.041449
CACNA1I	0.041217
HELZ2	0.040781
DNASE1L3	0.040684
NOTCH4	0.040497
IP6K3	0.040398
MERTK	0.039846
FAM117A	0.039800
CD70	-0.039728
SYNPO2L	-0.039597
GPR98	0.039581
SMIM3	0.039570
CDO1	0.039550
CPA4	-0.039523
PLAU	-0.039522
SCNN1A	0.039247
IL2RB	-0.039197
NAT1	0.038937
TDRD9	0.038933
TGFBR3	0.038834
DCLK1	0.038703
SCRG1	0.038303
FAM214A	0.038108
RAB7B	-0.038033
PDLIM4	-0.037856
FAM90A1	0.037728
F3	0.037647
KCNJ16	0.037555
CXCL8	-0.037451
FAM83A-AS1	0.037431
S100P	0.037335
ASB9	0.037136
SLC2A14	0.037091
PON3	0.036984
KCNB1	0.036918
KCNN4	-0.036891
ACKR2	0.036814
S100A2	-0.036591
NRTN	0.036558
TMEM61	0.036546
MYL3	0.036478
CCL20	-0.036310
PAPLN	0.036243
UST	0.036242
KIF13B	0.036137
CGN	-0.036119
CFAP58	-0.036077
CACNA2D3	0.036055
CUX2	0.035968
APCDD1L	-0.035798
KCNA5	0.035667
CLCF1	-0.035645
SERTAD4-AS1	-0.035550
ATXN7L2	-0.035425
METTL7A	0.035299
USP18	0.035191
SCG5	-0.035157
IFFO2	-0.035111
CHGA	0.035005
PHYHD1	0.034985
PFKFB1	0.034864
RELB	-0.034785
LCTL	-0.034426
BLACAT1	-0.034352
LRRC4C	-0.034297
COL6A1	0.034262
MYH6	0.034247
SPANXA2	-0.034036
CST1	0.033941
TGFB2	-0.033655
CARD10	-0.033461
KAL1	-0.033344
ARHGAP39	0.033325
SGK223	-0.033178
PCBP3	0.033173
ABCB8	0.033071
SERPINF2	0.033068
MMP15	0.033048
CCDC62	-0.033011
TUBA3E	0.032994
PLAC8	-0.032953
SPOCK1	0.032855
NTM	-0.032658
SP110	0.032441
STC1	0.032437
MAP3K7CL	-0.032436
S100A3	-0.032166
EPHA2	-0.032109
NYNRIN	0.032013
IL7R	-0.031949
NCF2	-0.031918
SNTB1	-0.031913
ADORA3	0.031865
LIMCH1	-0.031781
PRRG1	0.031756
TMEM100	0.031669
NTN4	0.031650
ADAMTS9	0.031565
TIMP3	-0.031511
MTSS1	0.031480
NTRK3	0.031476
KCNA1	-0.031360
OR4A16	0.031307
KRT17	-0.031265
LIF	-0.031224
TMX4	0.031115
BMP6	-0.030782
CD163	0.030649
CABP7	-0.030532
OGFRL1	0.030517
FOXO1	0.030465
THBS1	-0.030242
FKBP5	0.030169
TSPYL2	0.030150
TRIM51	0.030125
GPRC5A	-0.029981
OSBP2	-0.029914
CRABP2	-0.029900
RASSF4	0.029750
MAMLD1	-0.029673
ABLIM3	0.029651
PTPRM	0.029632
SHROOM2	-0.029588
HES1	-0.029498
CREBRF	0.029485
STAT5A	0.029438
TSC22D3	0.029397
LOC100505715	-0.029389
CELF2	0.029325
MSX2	0.029314
ST3GAL5	-0.029269
OXCT2	0.029266
CDH10	0.029217
NES	-0.029215
TF	0.029182
FOSL1	-0.029177
IL11	-0.029141
ITGA1	0.029096
MMP9	-0.029092
IL27RA	-0.029022
ZBTB49	0.028993
PTH1R	0.028975
GPM6B	0.028890
ENO2	-0.028800
SLN	0.028654
CNKSR3	0.028606
MYL10	-0.028576
FBXO32	0.028547
FAM65B	0.028526
PGC	0.028525
AFP	-0.028428
FRMD5	-0.028385
SH3PXD2A	-0.028225
SERPINE1	-0.028190
FJX1	-0.028174
BIRC3	0.028150
LFNG	-0.028086
ANXA3	-0.028015
ELFN2	-0.027985
SCX	-0.027943
GDPD5	-0.027767
ATP13A4	0.027765
MYOF	-0.027744
CYP4F11	-0.027641
CDKN1C	0.027573
TMEM200A	-0.027508
ABCC3	-0.027495
FLRT3	0.027457
ADPRM	0.027432
CYP4B1	0.027408
PPP5C	0.027407
GATSL3	0.027399
DHRS3	0.027375
TRIM48	0.027353
SPANXC	-0.027318
NR0B1	0.027300
AGRP	0.027197
SLC7A11	-0.027142
JPH4	0.027141
TGM2	0.027140
SNHG15	-0.027133
KIAA1324L	0.027115
MXD4	0.027114
C15orf27	0.027056
TBC1D16	0.027023
KCNA4	0.026989
NFKBIA	0.026988
ZCWPW2	0.026982
SPANXD	-0.026978
ABCA8	0.026923
MS4A15	0.026868
ACADL	0.026801
DUSP5	-0.026764
ANG	0.026739
GRAP2	0.026447
STAMBPL1	-0.026443
LRRC32	-0.026417
FLNC	-0.026378
SLC12A8	0.026260
BHLHE41	-0.026215
CDC42EP1	-0.026143
INPP4B	-0.026069
GFPT2	-0.025970
MOB3B	-0.025956
NAV3	-0.025891
FCHO2	0.025841
FGD4	0.025832
GMPR	0.025814
JAK1	0.025772
ZSCAN31	-0.025645
SEMA3C	-0.025621
IGF1	0.025615
TFDP2	0.025604
LINC00704	0.025604
HHAT	-0.025420
CTCFL	0.025359
MYH7	0.025356
SFN	-0.025344
C3orf70	0.025327
BCAR3	-0.025325
CNIH3	-0.025148
YPEL3	0.025106
NAT16	-0.025081
PPM1H	0.025025
MYOT	0.025015
PROX1	0.024911
PIK3IP1	0.024859
ADCK3	0.024849
OSBPL5	0.024847
ARC	-0.024771
MAN1A1	0.024753
RNASE12	0.024729
PPARGC1A	0.024712
CDH15	0.024705
CEBPD	0.024681
FAM104A	0.024668
NOL3	0.024641
SLC39A11	0.024619
RAC2	-0.024612
BCAR1	-0.024566
CSDC2	-0.024554
C9orf152	0.024495
CLVS2	0.024461
VEGFC	-0.024424
USP33	0.024402
GPR1	0.024381
NSDHL	0.024348
PLK2	-0.024297
LOC100132831	-0.024295
SYNJ2	-0.024247
OMD	0.024242
FRAT2	0.024207
CTNNAL1	-0.024199
PARVG	-0.024165
HEXDC	0.024149
TNFRSF11B	-0.024142
SH3GL2	-0.024085
NELL1	0.024075
TRAPPC6A	0.024009
TRIM49D1	0.024002
IGSF10	0.023843
PKIB	-0.023828
EFHD1	0.023783
TEX11	0.023762
RPS6KA2	0.023695
CXCL14	-0.023673
HPS3	0.023607
TNFRSF9	-0.023576
RNF144B	0.023484
FOXD1	-0.023457
IRF8	0.023457
NOG	-0.023443
PLAG1	0.023390
ZXDB	0.023387
AXL	-0.023316
ARL14EPL	0.023232
TMEM63C	0.023194
KANK4	-0.023191
HRK	-0.023149
WNT10A	-0.023147
CCRN4L	-0.023134
ZFP69B	-0.023083
RAB40A	0.023018
LEMD1	-0.023015
TUFT1	-0.022999
CD109	0.022985
GAA	0.022953
SH3RF1	-0.022934
UTS2B	0.022917
TMEM91	0.022899
ELMOD1	0.022825
ATOH8	0.022824
AASS	0.022813
ZNF57	0.022811
KRT16	-0.022786
PRKAR1B	0.022714
KCNF1	-0.022693
CD83	-0.022685
ALPK2	-0.022623
SDC4	-0.022572
WASF3	0.022537
MYRF	-0.022533
PCSK5	0.022501
DNAH2	0.022476
BATF3	-0.022435
NBAS	0.022420
CNTN3	0.022412
ABCA4	0.022399
SGSM1	0.022382
HOGA1	0.022346
SH2B3	-0.022345
CSF2	-0.022344
IL4R	-0.022321
VASN	-0.022295
SPANXA1	-0.022255
ETS1	-0.022237
SYT12	-0.022237
ARMCX1	0.022197
ZFP36	0.022193
PMEPA1	-0.022111
TNFRSF12A	-0.022082
LTBP2	-0.022038
TMEM45A	-0.022037
FBLN5	0.022024
FLNB	-0.021926
FAM114A2	0.021891
ARMC12	0.021886
OSBPL10	-0.021879
NFKBIE	-0.021835
PTHLH	-0.021815
DNM3	-0.021812
GREB1	0.021796
RNF150	-0.021714
JOSD2	0.021704
NFE2L1	0.021673
ZMYND8	0.021671
ENPP5	0.021667
IL1F10	0.021665
PRR7	-0.021646
HES6	-0.021612
ARHGAP24	0.021612
EEF2K	0.021577
FAM46A	0.021572
HOXA5	0.021557
FHL2	-0.021536
FZD4	0.021528
COTL1	-0.021526
PTPN13	0.021508
SOWAHC	-0.021503
BOP1	-0.021496
SLC7A8	0.021413
AGPAT9	-0.021389
PKP2	0.021357
NANOG	0.021347
HIST1H4C	-0.021345
GLRX	-0.021319
JUNB	-0.021289
PRRG4	0.021266
JPH1	-0.021248
ROR1	-0.021228
LETM2	-0.021188
IFFO1	-0.021138
RAP1GAP	-0.021135
CACNA2D4	0.021121
AUNIP	-0.021055
DYSF	-0.020958
SLC29A1	-0.020956
RTN4R	-0.020953
ID1	-0.020951
SIRPA	-0.020944
DPY19L2	-0.020917
GLIPR2	-0.020898
NEXN	0.020882
PGF	0.020849
ABCB9	-0.020844
ZDHHC8P1	0.020819
SPARCL1	0.020802
CLIC3	0.020750
TGFB3	-0.020744
CSPG4	-0.020737
KCTD15	-0.020717
HBP1	0.020705
ANTXR2	0.020684
KIF1A	-0.020677
PLEKHA7	0.020659
CMTM7	-0.020657
TBC1D4	-0.020651
PPP1R14C	0.020640
ARMC2	0.020622
TNC	-0.020526
PTPRR	-0.020486
ADI1	0.020469
ZNF404	-0.020467
FAM57A	-0.020448
PLEKHG3	-0.020433
ALDH6A1	0.020426
PPAPDC1A	-0.020394
SEPT9	-0.020389
HECW2	-0.020381
BBS1	0.020371
EDN2	0.020338
KDR	0.020317
FAM117B	0.020304
SERTAD1	-0.020187
CEP70	0.020179
GCOM1	0.020146
FAM162B	0.020046
ZBTB16	0.020044
TNS3	-0.020019
BAIAP2L1	-0.020011
MT1X	0.019940
CFLAR	0.019924
NKX2-5	-0.019913
APOBEC3B	-0.019889
WNT3A	-0.019887
BCL3	-0.019867
ZFP82	-0.019842
TPST2	-0.019818
