!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2OSGR  cells
!perturbation	Dexamethasone
!disease	Osteosarcoma - 4 hrs
!end_metadata
PDK4	0.132721
FAM90A1	0.127281
SPINK13	0.121635
TXNIP	0.098971
TIPARP	0.096099
PNLIP	0.090213
KCNA5	0.089859
CCL2	-0.082971
IER3	-0.078800
ART3	0.078572
ZCCHC5	0.076137
TUBA3D	0.075825
IRF8	0.070456
RNASE12	0.068984
ACTL8	0.068831
MSX2	0.066371
F3	0.065813
PHACTR3	0.063109
HBEGF	-0.061277
MUM1L1	0.060780
KLF15	0.060708
CNKSR3	0.060385
FAM107A	0.060277
SMIM3	0.060043
IRS1	-0.059634
CRISPLD2	0.057524
CXCL8	-0.057441
CXXC5	-0.056506
HELZ2	0.055707
OLAH	0.055672
S100P	0.055392
TF	0.054682
NKD1	0.054032
SGK223	-0.053896
CLCF1	-0.053267
CX3CL1	-0.053178
RGS2	0.052990
BCL3	-0.052827
LIF	-0.052753
TRIM47	-0.052563
DNASE1L3	0.052346
APOBEC2	0.052328
WDR60	0.051904
SERTAD4	-0.051799
RAB7B	-0.051293
IL11	-0.051212
ENC1	-0.051048
APOLD1	0.050969
NTF3	0.050153
OGFRL1	0.049755
PGF	0.049413
SYBU	0.049353
TGFBR3	0.049265
EVA1A	-0.049149
GPR64	0.049090
FOXD1	-0.048630
SLC9A2	0.048340
TMEM100	0.048263
CACNA1I	0.048026
SLC46A3	0.047929
SLC2A14	0.047522
PLEKHG3	-0.047152
PLAU	-0.047037
KIF13B	0.046377
PLEKHA7	0.046239
LRRC4C	-0.046206
SEC14L2	0.045944
CRYGC	0.045866
WNT5A	0.045336
SLC25A18	0.045098
NFKBIA	0.044741
CDH15	0.044739
CD163	0.044615
SHISA2	0.044535
ABCC8	0.044348
CLPSL2	0.044055
S1PR5	-0.043452
ST3GAL5	-0.043200
SP110	0.043008
C3orf70	0.043001
SLN	0.042779
GPER1	0.042728
MAMLD1	-0.042713
IP6K3	0.042537
OR7A5	0.042436
FOXS1	-0.042277
FAM49A	0.042175
HES1	-0.042017
FLRT3	0.041898
IRF2BP2	-0.041482
NR0B1	0.041431
NDUFB1	0.041189
CLVS2	0.041158
SMAD6	-0.040774
SLC6A3	0.040706
TUFT1	-0.040563
CCL20	-0.040517
ADPRM	0.039859
ZNF57	0.039685
SERPINF2	0.039474
NAT1	0.039407
ASPHD2	0.039221
BHLHE41	-0.038969
KCNA1	-0.038948
ADAMTS9	0.038816
ZFP36	0.038330
INPP1	0.038240
SCRG1	0.038034
