!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Chlorocebus aethiops; Homo sapiens
!cell	COS1 cells (transfected with FLAG-hGR)
!perturbation	Dexamethasone  6 hrs
!end_metadata
HCN2	-0.218722
BDKRB2	-0.187995
PLK2	-0.174002
MT1H	0.162078
MT1L	0.160824
MT1X	0.149870
DNAJC7	-0.146556
MT1A	0.145435
DRD4	-0.144070
RPL8	0.140169
RPLP0P2	-0.135924
S100A6	0.129213
CYR61	-0.123250
MT1B	0.115679
NDUFS5	0.112926
MT1G	0.111147
RPS6	0.105351
HIST1H4C	-0.103984
HSPA8	-0.103540
DBI	0.102082
IGFBP2	0.101205
RPL27	0.100528
TUBA1B	-0.099874
RPL38	-0.098598
UBB	-0.092526
UBC	-0.091697
HSPA1A	-0.089648
TUBB6	0.085174
HSPE1	-0.084525
SERTAD1	-0.084459
RPL32	0.082943
BRI3	0.081724
UQCRH	0.081560
TIPARP	0.080084
RPL36A	0.079459
RPLP2	0.076289
RPL30	0.075599
TPSG1	-0.073939
NDUFA8	0.072590
EIF4G2	-0.072385
IER2	-0.072312
TNFRSF12A	-0.071860
OAZ1	-0.071203
SRP14	0.070383
HSPD1	-0.068270
RPS17	0.067996
C1QBP	0.067693
GPI	0.067673
H3F3A	0.067576
RPS24	0.066586
ACTB	-0.066038
GPX1	0.065432
TOMM7	0.065416
BCAM	-0.065408
RPLP0	-0.065049
S100A10	0.064088
MT2A	0.063485
H3F3C	-0.063257
RPL41	0.060409
PRDX6	0.059682
GLI4	-0.059080
CCT4	-0.057585
HN1	0.057301
ACTG1	-0.056988
ARPC2	0.055263
ANXA2	-0.055016
C11orf31	0.054750
RPS18	0.054258
MANF	0.054046
ATP5A1	-0.053583
S100A2	0.053335
NCOR2	0.052907
FUT6	-0.052774
RPL36AL	-0.052251
RPS6P6	0.052020
DNM1P35	-0.051735
NDUFB8	0.050918
SMARCC2	-0.050532
PTTG1	0.050042
HCN4	-0.049970
ATP5G2	-0.049565
NACA2	0.049505
PABPC3	0.049262
EIF3A	0.049198
HS2ST1	-0.049151
RPS27	0.047881
COX6C	0.047832
MGC10814	0.047424
C14orf166	0.047326
ATP5H	0.046894
ATP1B3	0.046586
SLC16A3	0.045823
EEF1B2	0.045768
HSP90AA4P	-0.045501
DDX5	-0.044876
RPS20	0.044866
CRTC1	-0.044718
RPL37A	0.043862
ATP5E	0.043397
RPL34	0.043329
JUN	-0.043263
RASD1	0.042837
LOC644936	-0.042618
TXN	0.042611
MT1E	0.041343
ATP1A1	0.041004
NOP10	0.040965
VHL	-0.040766
MRPL9	0.040689
ATP5O	0.040529
BBC3	-0.040186
IER3	-0.039681
EIF1	-0.039431
GAPDH	-0.039179
HSPB1	-0.038909
CAPN2	0.038849
RPS8	0.038798
AQP1	-0.038365
CNNM4	0.038344
GDF15	-0.038028
EDN1	0.037968
SEPT9	0.037377
FHL2	-0.037142
EEF1A1	-0.037118
TRMT5	-0.037114
ATPIF1	0.037008
DNAJB1	-0.036498
SYCE1L	-0.036282
RPS4X	0.036260
LCE5A	-0.036222
UBL5	0.036203
GSTP1	0.036168
METRNL	0.036152
MRPL13	0.036120
RPS16	0.035927
RPL27A	0.035363
COX8A	0.035345
ENC1	-0.035104
SNRPD1	0.035077
RPL10	0.035043
FKBP2	0.034888
SDF2L1	0.034790
RPS14	0.034634
FOLR1	0.034580
ATP5J	0.034246
RPS3	-0.034184
NOP16	0.034177
PSMB7	0.033890
H2AFV	0.033849
EMC6	0.033848
RPL6	-0.033730
CTSL	-0.033704
TUBB2A	0.032925
DCUN1D5	-0.032789
SNRPD2	0.032384
HOXA3	-0.032146
EFTUD2	0.032145
NGFRAP1	0.032031
RPS29	0.031860
MAT2A	-0.031833
SRSF3	-0.031679
CDKN1C	0.031586
TUBA4A	-0.031519
CEBPD	0.031206
GCN1L1	0.031063
RPS23	-0.031048
HSP90AA1	-0.030675
CYP51A1-AS1	-0.030411
HSP90AB1	-0.030234
RPSAP52	-0.030201
RPL23	-0.030171
TRIB3	-0.029942
AASDHPPT	-0.029921
ANXA2P1	0.029347
VDAC2	0.029280
EDARADD	-0.029213
NDRG1	0.029203
TKT	0.029083
RPS19	-0.028512
CDC42EP5	-0.028018
PCBP1	-0.027814
CTPS1	-0.027647
MYL6	-0.027536
RCOR2	-0.027256
SSRP1	-0.027190
METTL12	-0.027155
PARP10	-0.027009
JUND	-0.026915
HES7	-0.026899
IARS	-0.026789
PSMD14	-0.026785
DNAJA1	-0.026717
CDK4	0.026704
LGALS1	0.026645
RPL22L1	0.026495
EEF1G	0.026451
CD63	-0.026422
PPDPF	0.026359
NDUFA1	0.026116
B2M	-0.025991
NDUFC1	0.025966
DEXI	0.025887
RPL13AP3	0.025883
LMCD1	0.025620
MRPL51	0.025611
EBNA1BP2	0.025542
CHAF1A	0.025533
MALAT1	0.025407
ATP5B	-0.025395
SNORA78	-0.024905
PRDX1	0.024561
GTF3C6	0.024399
COX6A2	-0.024320
RPL3	0.024209
RPL24	0.024100
TXNDC17	0.024053
POLR2G	0.024021
ARHGAP33	-0.023828
LAPTM4A	0.023793
VARS2	0.023748
RPS7	0.023685
NME1	0.023654
RPL36	-0.023585
BMP8B	-0.023371
UQCRQ	0.023147
BTF3	0.023114
H2AFZ	0.023018
CD24	0.022806
EEF1D	0.022779
ILF2	-0.022766
NPC2	0.022757
NDUFS7	0.022680
YWHAQ	-0.022430
AP3D1	0.022353
NOP58	0.022250
TRIM24	0.022126
HLA-B	0.022101
MTHFD1	-0.022054
TMEM258	0.021967
FAM193B	-0.021886
COA4	0.021848
ANAPC11	0.021827
UBE2S	-0.021735
CDCA5	-0.021714
EGR1	-0.021710
DHX15	-0.021686
FSTL1	-0.021657
RRM1	-0.021629
TK1	0.021601
YTHDF1	0.021587
EIF3K	0.021575
VIM	-0.021561
EIF4A1	-0.021497
RNF7	-0.021356
PCDHB13	-0.021192
LCE1D	-0.021091
ATP5G1	0.021045
H3F3B	-0.021045
PRDX4	0.021038
PRCP	0.021029
RPL26	0.021004
RPL12	0.020901
NDUFB4	0.020847
SELK	0.020772
ATXN2L	-0.020765
TUFM	0.020764
HYPK	0.020634
RPS2	-0.020538
EPRS	-0.020406
CTBP2	0.020353
RPS27L	0.020316
GPER1	0.020303
NDUFA4	0.020299
TMSB15B	0.020297
C14orf2	0.020209
ACBD6	-0.020182
RPS25	0.020168
STMN1	0.020108
PSMA3	0.019825
HMGN2	0.019793
RPS15A	0.019762
PPIF	0.019732
OGFOD1	0.019615
LAS1L	0.019496
RPLP1	0.019484
FOXC1	0.019472
PSMB5	0.019414
BEX2	0.019372
C6orf48	0.019347
SLC35E4	0.019288
MDH1	0.019265
RPL10A	0.019239
UBA52	-0.019223
RABAC1	0.019169
RPS28	0.019117
TMSB4X	-0.019059
PTDSS1	0.019051
SEPW1	0.019028
GRN	0.018975
KRT81	-0.018965
BASP1	-0.018936
FKBP3	-0.018895
SF3B6	0.018828
VDAC3	-0.018818
KRT18	0.018757
PPIAP30	0.018751
TMA7	0.018690
DNAJA3	-0.018615
HOMER3	0.018486
DDX1	0.018377
PRPF40A	0.018306
GNB2L1	-0.018217
TUBA1A	-0.018180
EZH2	0.018109
NFKBIA	0.018031
NDUFA12	0.017921
FAM96B	0.017916
BTBD6	0.017867
NDUFS6	0.017828
MINOS1	0.017800
CTNNBIP1	0.017616
BIRC5	0.017511
MFN2	-0.017445
USMG5	0.017410
ODC1	-0.017409
KBTBD11	0.017310
CHCHD10	0.017283
EIF6	-0.017279
EFHD2	0.017243
SLC39A13	0.017204
SLC12A7	0.017196
C11orf73	0.017192
DBN1	-0.017087
BTF3P11	-0.017073
MRPS12	0.016997
LAMB1	-0.016966
ANXA1	-0.016966
EMC8	0.016888
PALM2-AKAP2	-0.016880
SPARC	0.016803
PSMD13	-0.016723
COX5B	0.016641
TPM4	-0.016613
UBALD2	0.016566
TMEM14A	0.016472
SCHIP1	-0.016452
SMIM3	0.016447
COX6A1	0.016405
PPIA	0.016386
FBL	-0.016382
COX4I1	0.016346
TEX30	-0.016295
AHCY	0.016266
EIF3H	0.016201
TCP1	-0.016195
PSAT1	-0.016104
DIAPH1	0.016100
TMSB10	0.016097
TIMM9	-0.016003
PSMA7	-0.015885
PDHA1	0.015869
BEX1	0.015848
ATP5I	0.015797
PWP1	-0.015777
KLC3	-0.015753
RPL10L	0.015740
LSM1	0.015683
SULF2	0.015658
TUBA1C	0.015613
ALDOA	-0.015515
LIG1	-0.015493
COX5A	0.015469
MZT2B	0.015459
TPM1	-0.015295
SLC26A1	-0.015244
MYL12A	0.015220
PPM1G	-0.015181
KLK3	-0.015123
ORAI1	-0.015034
FBXO21	0.015031
CNIH4	0.014855
C19orf73	-0.014840
POLR2F	0.014797
HIST1H3A	0.014752
PSMA2	0.014749
TARS	-0.014748
ATP6V0C	0.014741
GLA	0.014715
RPS3A	-0.014677
HNRNPF	-0.014673
COX16	0.014670
HNRNPA1	-0.014565
VDAC1	-0.014523
TBC1D13	0.014504
ATF3	-0.014477
HNRNPC	-0.014442
IER5	-0.014429
NOP56	-0.014415
ILDR1	-0.014383
RPL29	-0.014350
ALPK2	-0.014226
ETFB	0.014193
PAOX	0.014188
AP2M1	-0.014183
GFPT2	0.014098
YWHAG	0.014093
SEC11A	0.014063
ATP6V0E1	0.014026
EDF1	0.014025
PSMC2	-0.013936
RWDD1	0.013929
PSMA5	0.013923
ZNRD1	0.013904
COX7A2	0.013888
CLNS1A	0.013880
CCT6A	-0.013712
METAP2	0.013688
LOC440461	-0.013675
TPD52L1	-0.013624
CBX3	0.013590
TMEM5	-0.013586
ATP5L	0.013580
RPL13A	0.013552
DUSP1	0.013514
P2RY2	0.013438
PTMA	0.013436
ERRFI1	0.013412
HDAC2	-0.013335
SPNS2	0.013314
CASKIN1	0.013301
SAE1	0.013290
HTRA3	0.013283
RNF149	0.013275
CARS2	0.013255
BTG3	-0.013242
HSPH1	-0.013212
RPL7	-0.013199
MYO1C	0.013181
TBC1D9B	0.013128
PTRH2	-0.012982
IMMT	-0.012963
YAP1	-0.012938
RGS10	0.012908
EED	-0.012891
MICALL2	0.012839
PSMA6	0.012799
HAT1	0.012764
RPL18	0.012682
FASTK	0.012607
AKR1B1	-0.012584
RPL13	-0.012532
EZR	-0.012520
GHITM	0.012494
RPL39	0.012446
VASN	-0.012431
S100A13	0.012411
SRSF7	-0.012398
CEP55	-0.012250
SPINT2	0.012243
SNRNP70	-0.012216
TCEB1	0.012186
C19orf60	0.012161
TXNL1	0.012161
RPL19P12	-0.012151
WFDC10B	-0.012143
AMOTL2	-0.012135
MAFG	-0.012066
UQCR11	0.012050
HIST1H1C	-0.011955
ARPC3	0.011949
PABPC1	-0.011919
NUDC	-0.011912
MRPL53	0.011884
MAD2L1	-0.011883
HLA-E	0.011852
GADD45A	-0.011841
MRPS22	0.011820
ATP6V1G1	0.011818
CST3	0.011804
MYL12B	0.011793
PARP1	0.011781
MRPL23	0.011761
RPL35	0.011748
CYB5R3	0.011734
AURKAIP1	0.011726
NACAP1	0.011707
KRTCAP2	-0.011674
TNRC18	-0.011610
ECSIT	0.011597
CYB5A	0.011563
UBE2I	-0.011559
SPAG5	-0.011495
HLA-F-AS1	0.011493
HSBP1	0.011488
TMEM191B	-0.011468
MVD	-0.011452
AXL	-0.011406
HNRNPL	-0.011386
EPN2	0.011368
RPS11	-0.011351
