	CD-coefficient	Significance
GM26870	0.5037577906195019	-0.09983629914009579
GM15662	0.2760055675390585	-0.09150778895625866
RNU3B3	0.2430524554589452	-0.10262689737654263
RNU3B1	0.2430524554589452	-0.1026507153970182
RMRP	0.16026626153103038	-0.1037652554853421
MT-ATP8	0.1486372505199667	-0.11168619956802184
GM22988	0.1307233631739774	-0.09715952353144058
RNU3A	0.12510510695094887	-0.1026626240260139
RPRL3	0.11886890181123985	-0.1008895841561036
MT-RNR2	0.11301616336701037	-0.11169961337205703
GM24407	0.11134924319608065	-0.09776334528701819
MT-CO2	0.10011706933515095	-0.11168826887984062
SNORA73A	0.0933301617907225	-0.08341154237347959
GM24265	0.08867534583157477	-0.09768723801133733
EEF1A1	0.08806931069657585	-0.06673026207638927
SCARNA10	0.08784422392972299	-0.09720840594944913
GM23262	0.08617093679685364	-0.09729938288604678
GM10800	0.08241569878271018	-0.08248577418423306
GM22513	0.08037652948928961	-0.09696333441320926
RPL34-PS1	0.07321159364920418	-0.10151644558282613
MT-RNR1	0.07113440719885779	-0.11169856387360844
SNORA78	0.06647196642552843	-0.08334035561576925
SNORA73B	0.06482921146331305	-0.08338790591502065
RPS27RT	0.06295652334536155	-0.10010691599813426
GM22634	0.06280524958544174	-0.09703427576426699
RNU1A1	0.06280524958544174	-0.10272206253890559
GM22068	0.06280524958544174	-0.09676565078117699
GM25679	0.06280524958544174	-0.09821400164363703
GM23804	0.06280524958544174	-0.09749433536525581
GM26444	0.06280524958544174	-0.09856314883588235
GM22317	0.06280524958544174	-0.09688454848399564
MT-CO3	0.06202588041774188	-0.11168928450078863
MT-ATP6	0.057542903222723624	-0.11168516948102325
RPL31-PS8	0.05610912355020561	-0.10156643659141673
MT-ND3	0.05550740078669132	-0.11169344980684393
RPL13A	0.05014520633135518	-0.10218406543345337
RN7SK	0.04897040322499188	-0.1037544086848412
RPLP1	0.04491318830972153	-0.10109558438038946
GM25776	0.04468016815288415	-0.09826591326466838
MT-CO1	0.04203003118309975	-0.11168723994532148
TRBV5	0.04189106851004079	-0.04386705026626003
RPS12-PS3	0.04168690289720661	-0.10075939032828618
RPS3A2	0.04026472960765855	-0.10003906963252263
RPS17	0.04018969324210706	-0.10053562304175412
GM10801	0.03966283536055664	-0.08249703698345784
FKBP5	0.03906485551742078	-0.07637810449636132
RPS26	0.03843883356232547	-0.10018806320065154
RPS4X	0.03829291213752818	-0.0999982945724116
TMSB10	0.037370730396479236	-0.05314040835862821
MT-CYTB	0.03652726587630766	-0.11169029093677751
RPL41	0.03580889520875665	-0.10128826778938593
RPL23A	0.035508478488686504	-0.10191463254191624
YAM1	0.035146877763024734	-0.014668533633592218
SYTL3	0.03398459370075961	-0.07106044443262083
SNORD15B	0.032109660359493815	-0.08322121846929331
RPS6-PS4	0.03173676740517079	-0.09994377655703568
SNORA44	0.031532720807960234	-0.08357650931615834
RPS9	0.031442057455576815	-0.09977922966203301
RPL32	0.030582395096933113	-0.10154145908860635
RPL7	0.030158544456363397	-0.10124986065476982
RPL13	0.02928559685696235	-0.10222020056040337
TCRG-C1	0.02899983666478028	-0.06648244169161421
RPL17	0.028630399489161393	-0.1021114310351392
GM22009	0.028000524218549584	-0.0967417534421342
TXNIP	0.027827897214596147	-0.0337683097027045
RPL10A-PS1	0.026959476708854648	-0.1022562944388331
RPS20	0.02679216388737774	-0.1002957104898301
MT-ND1	0.026728687895862642	-0.1116913423540431
RPS15A	0.026568736327768017	-0.10062807520859185
SNORD17	0.02637689288096489	-0.08319734675470913
RPS8	0.0262725772963107	-0.09979295963381185
GM25395	0.025086402561043362	-0.09810939028101862
RPL9	0.02504307826914536	-0.10113421021132096
RPL35A	0.024955644258686623	-0.10149136976912387
RPL37A	0.024569658748724833	-0.10137731537934835
GM25791	0.024368492438081635	-0.09829559946659921
GM25394	0.02393741006407663	-0.09810182616732832
GM7536	0.023061662542325796	-0.10245145782275134
RPS3A3	0.022782744914200754	-0.10002548819018686
CYB5A	0.02236972431650171	-0.05716340429591199
RPS29	0.022233882143149704	-0.10007978291876785
GM8730	0.02222707987565719	-0.10282561271530999
RPL39	0.0215447269711108	-0.10133928994631058
CYM	0.02134841826084025	-0.05745096951142778
GM25788	0.02116394897153323	-0.09828816824408404
GM13841	0.02107958294205787	-0.08838090411890681
GM26880	0.02083523684420825	-0.09987236809687156
GM10719	0.02083270434926552	-0.08233920052840765
GM10718	0.0206954376334317	-0.08232792672083136
GM14303	0.02048486522878011	-0.08920663989639221
AKAP13	0.020308162994214347	-0.01783428135982497
GM10275	0.020203388732629085	-0.08156953677737636
SNORA68	0.019922003917436367	-0.08345877538061797
RPL23	0.019417456505944154	-0.10192698618933804
GM26397	0.018932775605737653	-0.09853298398688859
GM22154	0.018722963762062908	-0.09681335381184952
RPS11	0.018679736835507117	-0.10083769831939615
RPS25	0.018527051701627356	-0.10021501492037865
RPL36	0.018392157627654372	-0.1014535079087524
RPL10-PS3	0.018273435692812784	-0.1022922627354087
RPL38	0.017969918552030364	-0.10135198048537752
RPS21	0.017671562590831358	-0.10028229789712884
RPS23	0.017394667622685024	-0.10026887864680589
RPL36A	0.01722732255529056	-0.10144083288598005
RPS5	0.01692756162512627	-0.09998467957249546
TCRG-V4	0.016620516564710752	-0.06633138873659206
PTPRC	0.016442038678893222	-0.10778531550582093
