	logFC
Apoo-ps	4.892671030318831
Mir6403	2.6505626012541486
Penk	2.338618822723638
Defb25	2.287987476620555
Sap25	2.2478007856478284
Scarletltr	2.1810748751356064
Abhd11os	1.940068415029384
Gm5512	1.8787570942177398
D630032N06Rik	1.6181379407319916
Snord33	1.4806418134173736
Mir215	1.480638700144493
Snora3	1.4806341293299696
Hyal3	1.4281726292234687
Snora52	1.3551105154482368
Atp1b1	1.3286374869844224
Snord104	1.2879978985599743
Hist1h2ae	1.2879932757824126
AV051173	1.287989029826256
Arxes2	1.2582415882555695
Pet117	1.2465535849179936
Snora41	1.2461715118847616
Rplp2-ps1	1.2187066686343744
2210417A02Rik	1.2176001404791148
B930003M22Rik	1.2031015079253404
Gm17801	1.1587117993469525
Mt3	1.1587067448488695
Rps27rt	1.123240489514575
4921513I03Rik	1.1067333784833726
Gm13826	1.0657558096689936
Mir3101	1.0656037995437018
Gm5176	1.0656010753575407
Rps19-ps3	1.065600504434623
Mir1940	1.0655973426271488
Tnfaip6	1.0655953099924815
Mir3057	1.0620552229327074
Atp1a3	1.0435800080890592
Gm10865	1.012273995628554
Rnls	1.0024323614175077
Znf41-ps	0.9958362977821081
Hist1h2bj	0.9831390492597739
Dnajc12	0.9762224548944669
Eid3	0.9545715002208632
Fosb	0.9490764015973325
LOC100503676	0.9280973048101249
Pcp2	0.9243147798068324
Klhl35	0.9094754842264136
Mir6357	0.8956728023291387
Ssu2	0.8729577350744252
Glp1r	0.8676606498874769
Snora23	0.8591527101793456
Hist1h1a	0.8591505435899902
1700084E18Rik	0.8591449993237759
Mir8094	0.8576568494532657
2310040G24Rik	0.8525212907266623
Tagln3	0.8285605879898479
Il11	0.8245860365576726
Zfp3	0.8194404213744583
3300002I08Rik	0.8025690434835561
Mir1896	0.8025689321331442
Amt	0.802567191571386
Snord35a	0.8025660974309746
Otos	0.8025660773057859
Hist1h2bn	0.8025642767300463
Kcnk3	0.7724027979120247
Abhd3	0.7635707069850265
Immp2l	0.7536588162871941
Nxnl2	0.7536555482269883
Gm10941	0.7343911908110494
1700094D03Rik	0.7312348160982356
Prr15	0.7133048043909564
Gm15706	0.7101202351327185
Hist1h2ak	0.7030300207944538
Atp6v0c-ps2	0.6964849295998004
Gabre	0.6936308201442044
Irx2	0.6849966314490151
Tmem181c-ps	0.6849944624219937
Gm20337	0.682270553988331
Tppp3	0.6785765782482821
Rcsd1	0.6746891305813106
Tnfrsf4	0.67328158814521
E530011L22Rik	0.6696737282572409
Gm17769	0.6650637114320964
Tdg	0.6470005817173539
Endou	0.6414303123557723
Inca1	0.638958668574363
A330040F15Rik	0.6274766540222358
Efna4	0.6226548593976389
Gm10516	0.6181389678286814
Rac3	0.6181372399779226
Prrt1	0.6110324093401436
2210039B01Rik	0.6099209821310476
Snora16a	0.6099201629360639
AI507597	0.6061681552666581
4930447K03Rik	0.6061663909056778
Coro2a	0.6051844602575275
Fsbp	0.6039283032211483
Areg	0.5961160695738404
Zfp939	0.5921423386109353
Nkx2-1	0.5916685884496727
1700003E16Rik	0.590261612666077
Gm15441	0.5902604627895934
Grin1os	0.5891625704949243
Msh5	0.5882278862896554
Cd1d1	0.587554736266419
6330418K02Rik	0.5875536948996289
Mtl5	0.5769320553743252
4930515G01Rik	0.5737461877054352
Sv2a	0.5708354378306418
Basp1	0.5708343797294575
Aqp3	0.566035038574952
Prickle4	0.5647034961924906
1110034G24Rik	0.5625792023897631
Ass1	0.560189818999981
BC033916	0.5510267402392167
2810408A11Rik	0.5477511728163168
Cep97	0.5368133536313516
Itga2b	0.5350807214022323
