gene	CD-coefficient	Significance
H19	0.5409184238989767	0.06452540177822652
Col6a3	0.35581520881447287	0.05539325279943902
Acan	0.2333809082266095	0.007798252844596988
Igf2	0.14882520875307728	0.061753553331266586
Col2a1	0.1346664562842371	0.05525066333883338
Col6a1	0.12844895942823853	0.05537284124803271
Postn	0.09464408454266753	0.014460937077909852
Matn1	0.08940148683222032	0.02282875946203866
Fn1	0.08629032005152669	0.06656282817358172
Col6a2	0.08450433251539317	0.05538305654159534
Col12a1	0.0777065000853487	0.055058233414476965
Cspg4	0.07297094439200229	0.057549333817036336
Hapln1	0.06757873590329469	0.06440556052728252
Sparc	0.06454496666320933	0.009542399688890812
Fat1	0.047515141943283455	0.06641300277932008
Fbn2	0.04668985936981918	0.06643842667949598
LOC313641	0.04372385045360154	0.028596952252613383
Ibsp	0.03779170950315798	0.06220332290426339
Ahnak	0.037654594667199344	0.016827221157822078
Ndrg2	0.03678513105709982	0.018737149577722212
Mgp	0.03648094256839129	0.02181107074676958
Ctgf	0.03552882194800185	0.057826413699050644
Igf2r	0.03348403720787104	0.061730070970652806
Cpm	0.03347323477438552	0.05645276192273091
Col10a1	0.03340687226849207	0.05502698054954383
Loxl3	0.033270372552017015	0.0248319126061306
Slc38a2	0.03254265484450683	0.010225455594596866
Dlk1	0.03047793387544501	0.06146874171373318
Ctsl	0.029802444463705613	0.058082230531990575
Fkbp5	0.026981754506773627	0.06656636673149252
Ppfibp1	0.02663419188564989	0.014396079764382508
Mfge8	0.02504886056405803	0.02196696543478982
Thbs1	0.024865538880434055	0.007785071271539157
Fbn1	0.02411626160579351	0.06643693506006812
Prelp	0.02363590106195269	0.014169454314927665
Alpl	0.02304376301095376	0.020271925478545817
Tsc22d3	0.022999813892321155	0.006208838469162314
Dst	0.022144013734801828	0.06290216026179268
Capn6	0.02210571647350743	0.04350524396417482
Itga10	0.020961886044796107	0.060196128483619105
Fgfr2	0.02051091500245468	0.06656605069594496
Notch2-2	0.020502220182904304	0.01773439861262338
Pam	0.01976880958336441	0.016275233742183537
Hif3a	0.019577532601929744	0.06370322845610416
Cst3	0.019411021141819525	0.05763033523762673
Pik3r1	0.019220094655163892	0.01506466039786658
Serinc5	0.018575963317061003	0.011187752680899443
Ltbp4	0.018302147682467323	0.02401918317263463
Slit3	0.018045949253624117	0.009953836262231452
Gpc1	0.01770716221176546	0.06566114751656277
