!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver (Hes1liver knockout male mice - HESKOL)
!perturbation	Dexamethasone
!disease	1mg/kg  - 6 hrs
!end_metadata
IGFBP1	0.328061
TAT	0.220706
GOT1	0.200020
MAT1A	0.166160
DDIT4	0.164752
ANGPTL4	0.163953
ST3GAL5	0.157337
AASS	0.154190
IGFBP2	0.144740
LRG1	0.141990
GADD45G	0.140822
ASL	0.138645
AKR1C4	-0.137378
NNMT	0.136915
RGN	-0.126297
SEC14L4	0.123847
APOA1	0.111307
BHMT	0.107540
EPHX2	0.107492
TDO2	0.106460
ASS1	0.105697
ARG1	0.103328
AGXT	0.101285
CDO1	0.099932
ERRFI1	0.097847
INMT	-0.093943
SCD	-0.091261
SERPINA3	0.090229
SAA1	-0.084597
GPT2	0.083423
SDS	0.082349
S100A9	-0.081070
LPIN1	0.080052
LARS2	0.078947
CTSV	0.076134
SREBF1	-0.076090
ECI2	0.075343
PLIN5	0.074919
OAT	0.074429
EIF4EBP3	0.074277
GSTA3	-0.071131
HSPA5	0.070218
BNIP3	0.069119
LDHA	0.068679
FGA	0.068552
HERPUD1	0.066811
CYP4A11	0.065758
GPCPD1	0.065318
INSIG2	0.065133
KHK	-0.062729
CTH	0.062604
SLC25A47	0.061438
HPD	0.061302
GYS2	0.060576
ACADVL	0.059117
GSTM5	-0.059069
PCK1	0.059062
PAH	0.058257
CHCHD10	0.057049
ALDH1A1	-0.056955
RETSAT	0.056922
UBC	0.056372
FBXO31	0.055553
THRSP	-0.055505
DBI	-0.054938
ITIH2	0.054513
PYGL	-0.053904
AGT	0.052810
RCL1	0.051942
NUDT7	-0.051359
ATF5	0.049718
ABCB11	-0.048934
FTH1	0.048477
FGL1	0.048294
POR	0.048155
DDT	0.048060
FH	0.047892
NAT8B	-0.047424
COMT	-0.046749
MRAP	0.045509
ACADM	0.043969
APOA5	0.043914
HSP90B1	0.043626
DBP	-0.042924
PIGT	0.042581
AGPAT6	0.042348
AHCY	0.041864
HSD17B10	0.041423
AMACR	0.041016
GAMT	-0.040486
PPA1	0.039967
SLC37A4	0.039519
PC	0.038268
TSPAN31	0.038008
PEX11A	0.037613
MFSD2A	0.037533
PHYH	0.037527
GPT	0.037209
HSPA8	0.037035
FASN	-0.036884
PECR	-0.036571
CYP4F12	-0.036421
CRELD2	0.035949
SAA2-SAA4	0.035855
CA3	-0.035680
G6PC	0.035607
MCM10	0.035307
LDLR	-0.035293
FAM134B	0.034946
MARC1	0.034735
SQSTM1	0.034689
SEPHS2	0.034574
AZGP1	0.034134
GRN	0.033659
FMO5	0.033654
HGD	0.033446
APOC4	0.033235
LSR	-0.033104
CYP4A22	0.032830
GABARAPL1	0.032474
CYP3A7	0.032414
TTPA	0.032275
CEBPD	0.031722
CEBPB	0.031626
ITIH3	0.031321
SERINC3	0.031262
UPP2	0.031159
HSD17B4	0.031120
CHCHD2	0.030897
ETNPPL	0.030645
EHHADH	0.030580
MSRB1	-0.030453
MKNK2	0.030353
AADAC	-0.029902
MAP1LC3B	0.029577
HINT1	0.029116
SPP1	-0.028677
PLIN2	-0.028670
SORD	-0.028607
GSTP1	-0.028576
ECH1	0.028299
P4HB	0.028045
GAS6	-0.027556
EGFL6	0.027498
SLC22A7	-0.027314
SC5D	-0.027297
SLC27A2	0.027175
COX17	0.026973
CPT1A	0.026787
SDC4	0.026734
GBE1	-0.026707
DCAF12L2	0.026562
PNPLA2	0.025951
ITIH4	0.025856
ADK	0.025833
CPT2	0.025637
GPX1	-0.025414
GLS2	0.025343
H2AFV	-0.025293
ACOT13	-0.025182
KRT18	-0.025049
SEC14L2	-0.025000
MDH2	0.024865
EGFR	0.024693
LYZ	-0.024517
ETFB	0.024430
HADHB	0.024383
RPS14	0.024362
SLC6A9	0.024231
TUBA1C	-0.024132
HP	-0.024122
GCKR	-0.024070
JUNB	0.024045
SERPINA1	0.023973
HSD3B7	-0.023377
APOC2	0.023245
COL18A1	0.023181
IFITM3	-0.023058
SEC61B	-0.022861
APOA4	0.022848
HBB	-0.022747
SDR42E1	0.022675
LHPP	0.022594
FTL	0.022572
AQP8	-0.022527
DMGDH	0.022482
ADH1C	-0.022279
ATP1B1	0.022203
NFKBIA	0.022115
AMBP	-0.022115
ALDOB	0.022052
TP53INP1	0.021635
EI24	0.021573
SUCLG1	0.021559
SLC27A5	-0.021366
MRPL14	-0.021257
ALDOA	0.021069
SDSL	0.020873
CCBL2	0.020845
SERPINA6	-0.020674
PSMD3	0.020626
DPYD	0.020477
RGS16	0.020472
F12	0.020306
PCBD1	-0.020306
SLC46A3	-0.020166
C20orf24	0.020145
LCN2	0.020109
KLF2	0.020018
CD5L	-0.020006
PPP1R3G	0.019926
ASGR2	-0.019904
PLG	0.019854
IL1R1	0.019775
LURAP1L	0.019651
FTCD	0.019398
NAT8	-0.019394
OSGIN1	-0.019270
FGB	0.019246
HPX	0.019175
AGPAT3	0.019110
TTR	-0.019023
HLA-E	0.018981
HSPD1	0.018759
ACO2	0.018752
CES3	-0.018682
SERINC1	0.018586
ACSL1	0.018410
MCFD2	0.018365
NME2	-0.018263
ALAS1	0.018084
ECHDC2	0.018058
CYP7B1	0.018045
RPL8	0.018025
ACAA1	0.018007
ACOX2	0.017992
EIF3G	0.017917
ADH4	-0.017877
COX4I1	0.017813
EEF1A1	0.017782
FAM213A	-0.017557
SMDT1	-0.017556
PPTC7	0.017555
SLC25A33	0.017554
MANF	0.017459
PLK3	0.017447
HEBP1	-0.017397
ITIH1	0.017199
HNF1A	0.017120
TSC22D3	0.017040
DEXI	-0.016872
NDRG2	-0.016792
CAT	-0.016672
NDUFA13	-0.016661
TFR2	0.016539
TM7SF2	-0.016494
ACAT2	-0.016313
MPZL2	0.016308
HSD11B1	-0.016289
HSP90AB1	0.016276
ZFPM1	-0.016169
ECI1	0.016088
TIMM10	0.016082
RPL5	0.015845
IGF1	0.015819
AMY2A	0.015790
PAQR9	-0.015759
MYL6	-0.015754
C14orf1	-0.015752
EEF2	0.015687
PSEN2	-0.015433
HMGCS1	-0.015422
ATP5G3	0.015411
ASPG	-0.015407
MAN2A1	0.015400
CTGF	0.015394
SLC25A39	0.015379
BPHL	-0.015360
PTP4A1	0.015313
SLC25A22	0.015292
MID1IP1	-0.015234
AHSA1	0.015176
MSMO1	-0.015152
LIMS2	0.015121
ATP5B	0.015089
PTPRF	-0.014979
HSPA9	0.014977
SLC25A5	0.014957
PSMB4	0.014948
KRT8	-0.014916
PTPRZ1	0.014893
CTSZ	0.014803
ABCB4	0.014759
ACBD4	-0.014742
TSPAN4	-0.014683
CIDEC	0.014679
LECT2	-0.014664
SLC38A3	-0.014649
DNAJA3	0.014625
TALDO1	-0.014612
LBP	0.014537
PPAP2B	-0.014499
FAM47E	-0.014453
FAU	0.014265
RPS18	0.014233
ITGB3	0.014227
CLDN3	-0.014161
CAB39L	0.014128
SERPING1	0.014096
F2	-0.014041
KNG1	0.014025
AIM1	0.014016
ACOT12	0.013966
RPLP2	0.013960
LPIN2	0.013928
CREB3L3	0.013921
ALDH6A1	0.013870
CLU	0.013733
PIM3	0.013712
GCGR	-0.013696
ENHO	-0.013678
HMOX2	0.013645
GC	0.013633
HSD17B13	0.013569
HAO1	-0.013557
FABP2	0.013464
