!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Acute lymphoblastic leukemia cell line, RS4;11
!perturbation	Dexamethasone
!disease	10 nM - 8 hrs
!end_metadata
P2RY14	0.142724
TMEM100	0.129051
MYRIP	0.116792
FAM171A1	0.107154
IL1R2	0.106955
LILRA1	0.101476
MAP3K6	0.099817
KLF2	0.096904
ZBTB16	0.095442
PTPN3	0.090582
SPRY1	0.089115
SGK1	0.084416
TACC2	0.081903
RIN2	0.079963
FKBP5	0.074402
INPP1	0.074314
SESN1	0.073944
FMO5	0.073892
VNN1	0.073102
KLF7	0.072210
CHRNA1	0.071261
TNS3	0.070905
SMAD7	0.069636
PIK3IP1	0.066602
SLC44A1	0.065515
TSC22D3	0.065424
FGD2	0.064360
OR7A5	0.063541
EPS8	0.063520
CHST2	0.062770
ISG20	0.062562
MS4A4A	0.062459
PLCB4	0.062185
TMEM45A	-0.061772
MAP3K5	0.061291
TMEM2	0.061272
GNAI1	0.059826
STAG3	0.059701
NDRG2	0.058666
CLN8	0.058416
NFIL3	0.058364
NINL	-0.058296
OGFRL1	0.057797
LOC100505650	0.057300
P2RX5	0.056715
SLC31A2	0.056358
ITGA9	0.055975
SLA	0.055480
SPAG4	0.054749
SIK1	0.054138
DDIT4	0.053596
FBXW7	0.052860
BLNK	-0.052381
GLDC	-0.052306
IL6ST	0.052068
MORC1	0.051423
DPEP1	0.051249
CD52	0.049967
NLGN4X	-0.049836
PIGV	0.049834
FJX1	-0.048688
AK4	-0.048547
GSAP	0.048338
CARD9	-0.048238
IGJ	-0.047912
LILRA2	0.047257
DAAM1	0.046832
IL1B	-0.046655
LGR5	-0.046504
GSN	0.045642
TUBA4A	0.045523
NELL1	-0.045242
CA2	0.045097
ID3	-0.044930
BHLHE41	-0.044682
DFNA5	0.044213
CPQ	0.043824
LILRB2	0.043604
AHDC1	0.043231
FCER1G	0.042620
IRAK3	0.042429
SAMHD1	-0.042081
COL5A1	0.041628
RCAN1	0.041599
VDR	0.041291
NFKBIA	0.041130
B4GALT4	0.040965
MXI1	-0.040530
NID2	-0.040293
HSPB7	-0.039982
ABLIM1	-0.039771
ABCB4	-0.039356
TGFB1I1	0.039251
SLC27A2	-0.038543
MX1	0.038213
TIPARP	0.037841
BANK1	-0.037828
BYSL	-0.037107
ITPKA	-0.037037
UNG	-0.036879
ATF3	-0.036599
PUS7	-0.036520
DOK4	0.036476
GNA12	0.036309
LDLRAD4	0.036231
ID2	0.036020
EZR	0.036000
CHAC1	-0.035846
FZD6	0.035813
FAM53B	0.035635
MAP7	0.035620
MT2A	0.035503
CORO1C	0.035382
EIF4EBP1	-0.035345
EMR2	0.034963
DNMT3B	0.034687
SORT1	0.034686
NCF2	0.034607
CORO2B	0.034564
RGS13	-0.034442
CLIC5	0.034331
RAB38	-0.034199
RASA2	0.033964
CTSB	0.033908
PLAUR	-0.033791
GZMA	0.033778
SLC27A3	0.033774
CD3EAP	-0.033728
CSGALNACT1	0.033718
CSPG4	-0.033711
BTG1	0.033442
SLC25A14	0.033327
TXNIP	0.033315
TFPI	0.033279
RASGRP1	-0.033251
SLC39A14	-0.032910
PLEKHF2	0.032827
TNFSF8	0.032779
IER2	-0.032426
SMURF1	0.032164
BAALC	0.032101
BCL6	-0.032032
WLS	0.031934
CD53	0.031780
ALOX5AP	0.031721
RHOC	0.031694
ZHX3	0.031657
ADRB2	-0.031394
LMO2	0.031280
PCTP	0.031185
RASSF4	0.031056
TRAK2	0.031055
PPIC	-0.030887
SAG	0.030826
FKBP11	-0.030536
DIP2C	0.030513
ZFP69B	-0.030465
RSRP1	0.030440
SOCS1	0.030422
MT1X	0.030389
PLXNA1	0.030250
MT1F	0.030208
RAB31	-0.030190
MXD4	0.030147
PER1	0.030045
VAV3	0.029896
GLUL	0.029882
CEBPB	-0.029862
SOX12	-0.029770
AP3S1	0.029736
TSC22D1	-0.029586
RAPGEF5	0.029582
GREM1	-0.029414
TTLL12	-0.029255
DNTT	-0.029250
GNAZ	-0.029216
WASF2	0.029164
ARNT2	0.029128
LHFP	0.029077
RAB33A	-0.028865
ICAM2	-0.028861
OSR2	-0.028836
GNPDA1	-0.028823
GARS	-0.028805
CREB3L2	0.028658
IL1R1	0.028616
ATXN1	-0.028536
ATP13A2	0.028270
ETV5	-0.028202
ARHGEF18	0.028118
NELL2	-0.028109
STYK1	0.028002
VPREB3	0.027896
ZNF318	0.027701
IFRD2	-0.027683
CCR1	0.027679
IFNGR1	0.027655
GPR63	0.027647
WWP2	0.027614
MARS	-0.027555
CC2D2B	-0.027544
MT1E	0.027448
NPY	0.027378
ACACB	0.027319
BCL2L11	0.027280
CHKA	0.027271
PHGDH	-0.027258
LAPTM5	0.027249
KCNMB1	0.027231
ULK1	0.027222
TRIB1	-0.027176
CERS6	0.027163
ATP8B4	-0.027082
SORD	-0.027072
NTHL1	-0.027060
MYC	-0.027057
TPD52	0.027041
MTHFD2	-0.026937
RHBDF2	0.026921
WDR91	0.026910
IGFBP7	0.026875
METTL1	-0.026854
LRRC1	0.026689
CTNNBL1	0.026673
ASXL2	0.026668
IGFBP2	-0.026574
RGL1	0.026537
KBTBD11	-0.026521
FHOD3	-0.026476
RFTN1	-0.026334
ZNF395	-0.026213
MT1H	0.026192
SELL	-0.026182
RUFY2	0.026176
MGST2	0.026156
YBX3	0.026129
THNSL1	-0.026100
PTPLB	0.026066
ALCAM	-0.026046
DYRK3	-0.026023
CCDC86	-0.025986
ALDOC	-0.025947
FAM216A	-0.025916
RYR3	0.025896
KIF3C	0.025803
ODC1	-0.025670
FERMT2	0.025652
IFI30	-0.025643
YARS	-0.025634
NCK2	0.025519
PYCR1	-0.025509
IFIT1	-0.025476
STEAP3	-0.025433
ZNF423	-0.025424
MAST3	-0.025422
SLC39A4	-0.025403
GAB1	0.025390
VEGFA	-0.025334
DSTN	0.025314
FXN	-0.025264
CCND3	-0.025194
CRMP1	0.025176
SRGN	0.025087
PSTPIP2	0.025041
KCNS3	0.025040
BIN1	0.024916
CLIP2	-0.024838
LAIR1	0.024793
WARS	-0.024787
FAM86A	-0.024760
DIXDC1	-0.024736
MYO10	0.024723
PAICS	-0.024719
TNFRSF21	0.024699
PFKM	-0.024612
PIK3C2B	-0.024604
LRRC8B	-0.024574
DPT	-0.024500
CHRNA5	-0.024456
EFCC1	0.024447
RGS2	-0.024305
LTBP2	-0.024250
MEF2A	0.024233
ZFP36L2	0.024130
DBN1	-0.024099
MT1HL1	0.024085
NT5DC3	-0.024074
TACC1	0.024003
PDGFRB	-0.023980
CLMN	0.023940
PPRC1	-0.023922
SNX29P2	0.023883
PDPN	-0.023873
WDR37	0.023850
TRIB3	-0.023620
CPT1A	-0.023566
SNTB1	-0.023556
KDM5B	0.023481
NPTX2	0.023409
GP9	0.023388
PSAT1	-0.023378
GINS2	-0.023371
DNAJB2	0.023359
DDIT3	-0.023273
RHOBTB3	0.023248
TLE1	0.023189
ITGA4	-0.023174
TGFA	0.023148
TMEM120B	-0.023144
GPR85	-0.023123
WIPI1	0.023095
NXT1	-0.023005
SRM	-0.022970
MRTO4	-0.022945
AMOT	0.022937
EHD3	0.022838
FZD8	0.022834
PPAT	-0.022750
TCTN1	0.022726
P2RX1	0.022714
FKBP4	-0.022608
XAF1	-0.022572
DEAF1	-0.022569
PVRIG	0.022515
TM6SF1	-0.022497
PDE2A	0.022443
ADA	-0.022437
EXOSC5	-0.022432
ERAP2	0.022331
MREG	0.022320
ENAH	-0.022281
NDRG1	0.022270
VAT1	-0.022231
ARID5A	0.022227
RABEPK	-0.022225
RCL1	-0.022219
STIM1	0.022200
DPY19L2P2	-0.022169
TRIM9	0.022083
PRR5L	-0.022075
CARS	-0.022055
CD69	0.022023
NQO1	0.022022
LIPC	-0.021989
TMEM260	0.021981
SIGMAR1	-0.021970
NR1D2	-0.021969
FUT7	0.021951
ADRA2C	0.021889
WWC3	0.021886
ATP9A	-0.021842
C1orf115	-0.021831
BTG2	0.021727
IL21R	-0.021671
UCK2	-0.021661
AMPD2	-0.021659
PAM	-0.021644
CCBL1	-0.021642
CCDC69	0.021636
NSMF	-0.021568
MID1IP1	-0.021532
DKC1	-0.021491
UNC13B	-0.021402
CD320	-0.021383
RGS16	-0.021371
INSR	0.021360
AKR1C3	0.021314
CAT	0.021272
LPIN1	0.021234
HIST2H2BE	0.021226
TERT	-0.021218
NLRP3	-0.021103
PRR3	-0.021057
ITGAL	-0.021037
CD48	-0.021012
SFXN3	-0.020995
NT5E	-0.020982
FBN2	0.020953
NOLC1	-0.020950
SLC30A1	0.020929
DCTPP1	-0.020849
SP100	0.020807
CD58	0.020753
LINC00115	0.020709
CTSG	-0.020699
SOCS2	0.020698
BACH2	-0.020694
NRXN2	-0.020628
XPOT	-0.020626
MRPL12	-0.020546
BCR	0.020539
TIPIN	-0.020501
VWA5A	0.020485
SEH1L	-0.020478
CLEC11A	-0.020449
MYBBP1A	-0.020406
GPR18	-0.020392
ATRNL1	-0.020364
LILRA6	0.020359
CCL5	-0.020350
C15orf39	-0.020344
MTUS2	0.020339
RNASE6	0.020327
CDKL1	0.020295
DERL1	0.020267
FAM69A	0.020246
TBC1D16	-0.020210
MYO1B	-0.020184
ATP10A	0.020163
TNFRSF17	-0.020143
ANKRD27	-0.020126
AKR1A1	-0.020123
TAP1	0.020102
KIF21B	-0.020067
USP36	-0.020051
GPR56	0.020051
NOTCH2NL	0.020014
KNOP1	-0.019992
POLD4	0.019906
P4HA1	-0.019879
GPM6B	-0.019877
CD37	-0.019872
MAP3K8	0.019862
PPFIBP1	-0.019860
GNPTAB	0.019830
FOXO3	0.019805
KLF9	0.019802
REXO2	-0.019793
ETS2	0.019781
