!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Lung
!perturbation	Dexamethasone
!disease	1 mg/kg - (AIN-76A diet)
!end_metadata
BHMT	0.079189
ALB	0.076601
GNMT	0.072196
BTLA	-0.068104
EDN2	0.067529
TECRL	0.065670
FST	0.064471
FOSB	0.063061
AMY2A	0.062256
APOA1	0.059585
FABP1	-0.058721
CYP2E1	0.057549
SERPINA1	0.057193
FAIM3	-0.057131
ADIPOQ	0.055436
CD79A	-0.054819
TNNC2	0.054802
PLAC8	-0.054462
ACTA1	0.052492
CALCB	0.052041
SELL	-0.051530
MS4A1	-0.051115
THRSP	0.050605
PHYHD1	0.050446
NKG7	-0.049766
SLC38A4	0.049646
KRT4	0.049339
C10orf10	0.049200
BANK1	-0.049137
TTR	0.048497
CXCL13	0.048408
OMD	0.048392
GALNT15	0.048070
CIDEA	0.047739
RETN	0.047679
CD19	-0.047635
CYR61	-0.047420
CYTL1	0.046813
SCN3B	-0.046755
MATN4	-0.046520
PMVK	0.046515
SLC38A5	-0.045937
SLC7A10	-0.045676
CD300LB	-0.045177
HLA-DOB	-0.045086
CCL5	-0.044649
CXCL3	0.044185
EDN1	0.044118
GZMA	-0.044057
TMEM45B	0.043957
LPHN3	0.043589
GPR18	-0.043399
NLRC5	-0.043095
GDPD2	0.042714
CRY1	0.042517
KRTDAP	0.042378
TNNT3	0.042140
GLB1L2	0.041804
ITIH5	0.041718
ALDOB	0.041298
CD163	0.041269
SERPINA3	0.041186
CFD	0.041168
APOC2	-0.040647
TCN2	0.040555
S100A4	-0.040446
RGCC	0.040175
RASD1	0.039504
CXCR5	-0.038970
COL13A1	-0.038943
FGR	-0.038873
WISP2	-0.038680
SPP1	0.038526
LOX	0.038493
HPCAL4	-0.038428
TBC1D10C	-0.038403
SPNS2	-0.038251
C19orf38	-0.038203
EPPIN	0.038145
TNFRSF13B	-0.038067
CD8B	-0.037393
LTB	-0.037379
PLIN4	0.037114
POU2AF1	-0.037103
DBP	-0.037013
CTSW	-0.036989
FAM107A	0.036972
LY86	-0.036939
CD72	-0.036916
MYH8	0.036598
MAP3K6	0.036452
LY6D	-0.036367
RASGRP3	-0.036271
SAMD12	-0.036085
CA3	0.036047
ABCA1	0.035982
CIITA	-0.035978
CCR7	-0.035951
FGFBP1	0.035948
EMILIN2	-0.035837
GBP6	-0.035728
TMEM119	-0.035606
SEMA5A	0.035390
ATF3	0.035336
FYB	-0.035288
NXPE4	-0.035268
KLRD1	-0.035153
IGJ	0.035096
AGT	0.035069
MYRIP	0.035022
CD3D	-0.034849
CD22	-0.034709
NMB	0.034685
CD79B	-0.034065
UCP1	0.034030
NCF4	-0.033867
ITGAM	-0.033784
CHAD	0.033637
TMEM252	-0.033585
MYH1	0.033581
UCHL1	0.033518
LPL	0.033402
ALDH6A1	0.033231
NFE2	-0.033146
MYO1F	-0.033136
