!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform B)
!perturbation	Dexamethasone
!disease	hGRalpha-B - 100nM - 12 hrs
!end_metadata
FAM90A25P	0.092845
FAM90A1	0.088273
SPINK13	0.074751
PNLIP	0.068600
S100P	0.066789
SNTG2	0.064734
SAG	0.062428
CDH16	0.061917
KCNA4	0.061310
CILP	0.058879
ACTL8	0.058425
CA4	0.058040
SYT13	0.057847
ATP4A	0.057615
FLJ38379	0.057547
FLRT3	0.057402
CYTIP	0.057034
SOAT2	0.056745
SCRG1	0.055660
C15orf27	0.054391
CARD14	0.051618
KDF1	0.051116
NLRP7	0.049438
WFDC11	0.048373
LINC00689	0.047904
C11orf96	0.047669
PDK4	0.047361
HBM	0.047226
PTGS1	0.046943
ZAP70	0.046929
SV2B	0.046321
LAD1	0.046292
KRT5	0.046166
ABCC8	0.046022
RGS2	0.045971
TIPARP	0.045049
LINC00880	0.044785
SOD3	0.044658
CD163	0.044317
NR0B1	0.043916
CA9	0.043816
CST9L	0.043692
CHRDL2	0.043644
TPO	0.043240
PCBP3	0.043036
HOXD1	0.042625
PENK	0.041974
TEX11	0.041840
APOBEC2	0.041656
FAM83F	0.041335
CSF3	0.040836
GRASP	0.040589
FAM198A	0.040382
IL18RAP	0.040292
CA2	0.040255
SPINK5	0.040151
DNER	0.040116
C5orf66	0.039688
GUCY2F	0.039555
CRTAC1	0.039287
HBZ	0.039230
INSL4	0.039193
F11	0.039017
CEBPD	0.038975
TMEM100	0.038876
SMIM3	0.038541
KRTAP2-3	-0.038432
HSD17B2	0.038233
LOC100507639	0.038186
TDRD9	0.038092
SGK1	0.038087
SLC25A18	0.038007
SLC6A3	0.037994
CCL2	-0.037782
EGFLAM	0.037683
LGSN	0.037313
MUM1L1	0.036789
NANOG	0.036762
TKTL1	0.036615
TGFBI	-0.036363
DNASE1L3	0.036205
LOC642620	0.036199
FHL2	-0.035515
ZNF189	0.035218
TSC22D3	0.034972
SLN	0.034850
NXPH1	0.034772
ITIH3	0.034679
SWT1	0.034441
GPER1	0.034150
PCSK5	0.034106
CALB1	0.033685
NLRP3	0.033615
FRK	0.033486
PLAU	-0.033361
LIMS3	-0.033346
S1PR1	0.033246
BTLA	0.033135
NLRP8	0.033029
PKIB	-0.032968
LOC100507053	0.032887
AMIGO2	-0.032878
NLRP5	0.032771
SLITRK3	0.032689
ARHGAP9	0.032677
AGT	0.032677
OVGP1	0.032665
CNIH3	-0.032658
ABCG5	0.032486
NTF3	0.032334
TF	0.032247
SGSM1	0.032079
FAM117A	0.031963
NKD1	0.031940
GZMA	0.031939
B3GAT1	0.031885
MYH13	0.031667
EDNRA	0.031627
NAV3	-0.031478
HEXDC	0.031360
ERV9-1	0.031246
FABP6	0.031220
PPEF1	0.031041
GPIHBP1	0.030963
RNASE11	0.030950
KCNG1	0.030872
CACNA1I	0.030863
OR4C1P	0.030826
ART3	0.030651
COL23A1	0.030634
BBOX1	0.030553
CLDN1	-0.030553
PTX3	0.030531
TIGD3	0.030530
CRISPLD2	0.030453
PIWIL1	0.030390
CNGA3	0.030371
C8G	0.030365
CASR	0.030355
MISP	-0.030331
PLCB4	0.030304
OLFML3	0.030263
EFCC1	0.030189
RASD1	0.030076
FAM213A	0.029978
C1orf186	0.029923
SYT2	0.029675
NET1	0.029488
HAS2	-0.029470
LPL	0.029422
COL18A1	0.029329
GPRC5A	-0.029309
GJA10	0.029198
MTTP	0.029172
SEC14L2	0.029169
ENC1	-0.028935
LOC79160	-0.028841
SLC26A9	0.028819
MYEOV	-0.028729
SCGB2A1	0.028701
NFKBIA	0.028671
ZNF57	0.028596
IP6K3	0.028516
FETUB	0.028490
TGFB2	-0.028456
HSD11B2	0.028432
MYH7	0.028386
ELMOD1	0.028382
HSPA6	0.028380
PTH1R	0.028361
TRIM49	0.028209
SNAI1	0.028203
FAM20C	0.028153
TGFB2-OT1	-0.028039
CNKSR3	0.027759
PTPRR	-0.027739
EMP1	-0.027703
TRGV7	0.027655
SCG5	-0.027537
KCNN4	-0.027474
NOS2	0.027402
GREB1	0.027355
TRIM48	0.027336
TMEM130	-0.027334
ABCA8	0.027333
IGFBP1	0.027251
ARC	0.027217
NSDHL	0.027199
TMEM37	0.027187
KCNH2	0.027131
NEB	0.027024
AKR1C3	0.026960
SCGN	0.026949
HLA-DPB1	0.026922
CST6	-0.026885
PCYOX1L	0.026796
CLCA4	0.026795
LRRC4C	-0.026702
KCTD4	-0.026652
CLCN2	0.026651
SHOX	0.026637
CHIA	0.026546
ARSE	0.026487
SLC19A2	0.026395
FRMD5	-0.026363
SLC7A8	0.026213
SNN	0.026162
CDKL5	0.026144
FAM212B	0.026128
SLAMF8	0.026067
NAT1	0.026053
LIMA1	-0.026048
LOC100287221	-0.026038
SERPINF2	0.026028
CPM	0.025988
RGL1	0.025940
MYO15A	0.025932
MAT1A	0.025883
KBTBD11	0.025878
VDR	0.025866
CDX1	0.025823
TXNRD1	-0.025755
RYR3	0.025738
FAM105A	0.025669
ITLN1	0.025660
TGFBR3	0.025589
SYT16	-0.025478
KCTD3	0.025453
CPT1A	0.025354
TRG-AS1	0.025321
PMEPA1	-0.025251
MUC3B	-0.025162
HEY1	0.025032
EDN3	0.025024
KRT71	0.024762
TERT	0.024732
MRVI1	0.024664
PEX6	0.024645
SGK223	-0.024630
LEPREL1	0.024603
CTCFL	0.024581
LRRC56	0.024492
TNFAIP2	-0.024478
TNFRSF1B	0.024407
KRT80	-0.024379
CAPN8	0.024310
GSC	0.024298
FAM46A	0.024218
DAPP1	0.024160
SSR4P1	0.024132
IYD	0.024122
LPAR5	-0.024122
MARC1	-0.024098
SMCP	0.024091
C3orf70	0.024073
SLC2A14	0.024059
NOTCH4	0.024035
IL1F10	0.023987
BCL2L14	0.023958
ALDH1A1	-0.023945
AMZ1	0.023926
ZFP36	0.023905
IGHV3-30	0.023905
CHST3	0.023882
PAG1	0.023865
MIG7	-0.023846
RHOU	0.023844
MAGEB3	0.023810
HTR1D	-0.023779
ADAMTS1	-0.023736
GOLT1A	-0.023702
ZBED2	-0.023685
IL18	-0.023674
VPREB1	0.023668
FAM135B	0.023623
TUBA3FP	0.023617
MAP1A	0.023589
MAP3K7CL	-0.023581
TMX4	0.023558
FAM189A2	0.023534
TBC1D10C	-0.023473
PIP5K1B	0.023408
NXF5	0.023325
TRIM63	0.023303
CADPS	0.023300
KCNJ4	0.023265
PTGES	0.023236
SEMA3A	-0.023156
ADAMTS8	0.023076
LAMA2	0.023045
GPR115	0.022986
CLIC5	-0.022978
TUBA3D	0.022974
BIRC3	0.022957
RASSF4	0.022941
CHRNA7	0.022938
CD70	-0.022795
ALPK2	-0.022758
TMEM204	0.022655
ARHGAP28	-0.022642
NLRP10	-0.022600
AXL	-0.022572
DNAJC12	0.022567
UBASH3B	-0.022551
TMEM154	-0.022549
MYO10	-0.022495
RASSF2	0.022437
GSTM3	0.022434
CTHRC1	-0.022376
LOC101928205	0.022370
CDH15	0.022365
PHYHD1	0.022212
KLRC4	0.022207
PRR16	-0.022193
LOC101926940	-0.022183
IL7R	-0.022174
ADORA2B	-0.022028
PLEKHB1	-0.021994
C14orf183	0.021982
TNFAIP6	-0.021952
BHLHE40	-0.021931
MAP1LC3C	-0.021927
GPR1	0.021916
IER3	-0.021858
SPPL2C	0.021852
DNM3OS	0.021828
OR52K3P	0.021769
ID2	0.021748
PDCD1LG2	-0.021718
LAIR1	0.021700
ARL4C	-0.021695
TMEM129	0.021652
IGSF10	0.021625
GPR83	0.021560
DDR1	0.021544
SLC35F3	-0.021523
SALL4	-0.021465
LRP4	0.021463
ITGB2	0.021451
MFSD6L	0.021448
TNFRSF11B	-0.021435
FLVCR2	0.021392
DRD1	-0.021385
DNAH10	0.021349
IRF8	0.021305
BMP5	-0.021296
SIPA1L2	0.021292
SERTAD4	-0.021281
ATP6V0A1	-0.021256
SLCO4A1	0.021251
PRB1	0.021248
CPNE7	0.021214
KLK3	0.021149
RAD51C	0.021113
CPVL	-0.021091
ZBTB20	0.021046
NPY1R	0.021029
PRICKLE2	0.021013
PEX2	0.021013
TG	0.020994
ADORA3	0.020963
G6PC	0.020943
PRKCB	0.020938
MT1M	0.020904
TIGD2	0.020876
PPBPP2	0.020854
SLC12A3	0.020846
ST3GAL6	0.020806
MARCH4	-0.020792
ATP1A4	0.020771
SHC4	0.020755
DIRAS3	-0.020736
CCBE1	-0.020713
ARHGEF28	-0.020695
SERTAD4-AS1	-0.020654
TMEM200B	0.020649
LINC01133	0.020636
FAT2	0.020626
MCEE	0.020603
BATF2	-0.020575
PCDH18	-0.020572
MSX2P1	0.020520
CALCA	0.020516
OGFRL1	0.020506
WDR60	0.020504
FAM49A	0.020502
PON3	0.020497
CYP3A4	0.020495
MIR100HG	0.020492
GIMAP1	0.020491
YTHDF1	0.020481
SEMA3E	-0.020469
GLRX	-0.020468
CR2	0.020454
BDKRB1	-0.020430
TYROBP	0.020418
SCUBE2	0.020403
IL12A	-0.020389
ABCD1	0.020382
TSPYL2	0.020345
DAW1	-0.020341
ELSPBP1	0.020340
ARMC12	0.020339
ABCC3	-0.020332
NUDT16	0.020303
NOSTRIN	0.020255
EPHA5	-0.020238
SAMSN1	-0.020230
LINC00707	-0.020209
IL22RA1	0.020207
PGF	0.020197
LOX	0.020193
KLF15	0.020186
ATP1A3	0.020173
P2RY6	0.020135
ASB9	0.020100
F2RL2	-0.020095
GRB14	0.020092
CTDSPL	0.020088
KRT75	-0.020086
AQP1	-0.020080
LCE3D	0.020074
COL5A3	-0.020040
VWC2	0.020036
CEACAM4	0.020030
BCR	0.020009
IL17D	-0.019996
ATP1A1	0.019959
DPEP1	0.019951
ITGA2	-0.019936
ABCA6	0.019905
BAMBI	0.019891
CDO1	0.019873
JUP	-0.019859
SGPP2	-0.019777
NF2	-0.019775
RAB7B	-0.019774
TLR4	-0.019761
LRIG1	0.019754
CRYGC	0.019745
ANXA10	-0.019741
ID4	0.019731
PGPEP1L	0.019703
CSF2	-0.019690
ZNF587B	-0.019668
SHISA2	0.019661
UNC45B	0.019661
CDH8	0.019651
PRKCQ	0.019650
ITPKA	0.019638
ZNF620	-0.019625
ZCCHC5	0.019585
PLEKHA7	0.019560
GALNT15	-0.019546
OR7E91P	0.019504
SEPP1	-0.019501
PDE1A	0.019414
DPP4	0.019401
CHRM5	0.019388
RGMA	0.019381
FOSL1	-0.019370
LOC283278	0.019359
CRYBA2	0.019350
HEMGN	-0.019345
CREB5	-0.019273
FAM230B	0.019270
DUSP1	0.019256
WNT11	0.019255
LETM2	-0.019244
VIPR2	0.019229
CYP24A1	-0.019219
ITPKC	0.019182
PTPRJ	0.019148
CDYL2	0.019143
IGFBP5	-0.019133
SYT12	-0.019131
MAP2K3	-0.019120
COLGALT2	0.019084
LSM11	0.019076
MAP4K1	0.019064
GAREM	0.019038
ADCY5	0.019035
PTRF	-0.019004
EFCAB6	0.018972
AKAP4	0.018913
ACSBG1	0.018880
TMEM255A	0.018839
TRIM54	0.018809
FGD6	-0.018805
CXCL8	-0.018780
ADARB2	0.018757
PLEKHA4	-0.018732
GEM	-0.018703
ABCB5	0.018698
RASGRF1	-0.018697
LINC00161	-0.018661
ATP12A	0.018643
NFE2	-0.018638
RAB11FIP4	-0.018631
TRPC3	0.018624
