!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform D)
!perturbation	Dexamethasone
!disease	hGRalpha-D - 100nM - 12 hrs
!end_metadata
FAM90A25P	0.094975
FAM90A1	0.093513
SPINK13	0.085765
CILP	0.075902
PNLIP	0.073924
KRT5	0.073539
CYTIP	0.071594
CDH16	0.071083
ACTL8	0.060382
S100P	0.059980
CARD14	0.059161
C11orf96	0.058934
GPER1	0.058178
SV2B	0.057937
LAD1	0.055702
FLRT3	0.055290
CA2	0.053784
SNTG2	0.052449
AMIGO2	-0.052041
SLN	0.051583
GPIHBP1	0.051127
C15orf27	0.049869
ABCC8	0.049708
FAM198A	0.049552
TIPARP	0.049187
BBOX1	0.048830
KCNA4	0.048727
KCNN4	-0.048383
SCGB2A1	0.048104
TPO	0.047380
CNIH3	-0.047152
B3GAT1	0.046616
PLAU	-0.045710
SLC25A18	0.045052
PDK4	0.044582
MUM1L1	0.044484
CCL2	-0.044469
NANOG	0.044306
KRTAP2-3	-0.044157
SLC7A8	0.044089
SOAT2	0.044021
RGS2	0.043486
FETUB	0.043459
FHL2	-0.043257
KDF1	0.043111
SOD3	0.042586
NR0B1	0.042494
LOC79160	-0.042433
CLDN1	-0.041508
SCG5	-0.041200
CSRP3	-0.040740
PTGS1	0.040738
MISP	-0.040625
ATP4A	0.040471
TGFB2-OT1	-0.040154
EMP1	-0.039845
CD163	0.039471
PMEPA1	-0.039344
TGFBI	-0.039188
PTPRR	-0.039046
LINC00880	0.038824
DNM3	-0.038795
CNGA3	0.038716
LRRC4C	-0.038703
KCNJ15	-0.038509
SGK223	-0.037898
INSL4	0.037872
GPRC5A	-0.037820
CALB1	0.037778
SMIM3	0.037396
DNER	0.037387
SYT13	0.037380
LIMS3	-0.037007
WFDC11	0.036963
NTF3	0.036774
SLC6A3	0.036643
PKIB	-0.036399
ZNF189	0.036239
C5orf66	0.036093
CPA4	-0.036067
ITPKA	0.035909
KLF15	0.035606
AXL	-0.035587
MYZAP	0.035498
FLJ38379	0.035236
HOXD1	0.035164
ITIH3	0.035033
TUNAR	0.034769
TGFB2	-0.034728
SGK1	0.034397
CRTAC1	0.034325
ALPK2	-0.034279
CEBPD	0.034135
NKD1	0.034105
TSC22D3	0.034092
CSF2	-0.033944
ZAP70	0.033926
TMEM130	-0.033904
NLRP3	0.033809
ZNF404	-0.033756
SPINK5	0.033538
LIMA1	-0.033508
TDRD9	0.033452
NLRP5	0.033331
MYEOV	-0.033233
PENK	0.033100
HAS2	-0.032998
MMP3	-0.032778
IL18RAP	0.032742
RASSF4	0.032691
FRK	0.032484
PCBP3	0.032451
EGFLAM	0.032425
TMC5	-0.032316
TMEM154	-0.032188
PTH1R	0.032164
NAV3	-0.032149
LAMB3	-0.032148
AQP1	-0.032144
CST9L	0.032074
GCG	0.032070
APOLD1	0.032040
TXNRD2	-0.031902
IL7R	-0.031890
SCRG1	0.031873
TNFAIP6	-0.031669
ZFP36	0.031664
CSF3	0.031498
CD70	-0.031244
SEC14L2	0.031184
ZBED2	-0.031059
DPEP1	0.030928
SLC35F3	-0.030745
HRCT1	-0.030439
GPR56	-0.030385
KCNH2	0.030380
MT1M	0.030366
ANXA10	-0.030328
SGSM1	0.030205
BMP5	-0.030186
CDH15	0.030165
LOC101926940	-0.030002
TM4SF18	-0.029959
ADORA2B	-0.029803
GSC	0.029676
GRASP	0.029667
AKR1C3	0.029544
MMP7	-0.029441
DPY19L2P2	-0.029431
ARHGAP22	0.029426
KRT75	-0.029374
TRIM48	0.029361
PKD1L2	-0.029285
ATP12A	0.029082
TRIM49	0.029036
MSX2P1	0.029011
SERPINF1	0.029010
MRVI1	0.029004
KLRC2	-0.028999
CA9	0.028978
PIP5K1B	0.028870
LOC100507053	0.028867
LOC100507639	0.028714
LOC100128035	-0.028583
ALDH1A1	-0.028552
CPM	0.028463
FRMD5	-0.028372
SEMA3A	-0.028360
BLACAT1	-0.028183
SLC25A48	0.028133
TMEM204	0.028106
ID2	0.028011
IL18	-0.028006
ERV9-1	0.027991
TF	0.027961
TENM2	-0.027914
FAM20C	0.027870
KCTD12	0.027856
HTR1D	-0.027738
SALL4	-0.027729
SEMA3E	-0.027686
TMEM100	0.027643
CRLF1	0.027555
SLC16A5	-0.027520
ASB9	0.027496
UBE2QL1	0.027460
CACNA1I	0.027436
SCGN	0.027369
FAM117A	0.027354
IRF8	0.027268
TEX11	0.027246
GPR83	0.027182
COL15A1	0.027169
PRB2	0.027092
C4orf26	-0.027080
CYP24A1	-0.026989
VDR	0.026987
ATP6V0A1	-0.026952
TRG-AS1	0.026832
SHOX	0.026780
KRT80	-0.026651
EPHA5	-0.026639
ENC1	-0.026626
NUDT16	0.026559
CST6	-0.026509
CYP4B1	0.026482
DOK7	0.026461
ARL4C	-0.026451
CA4	0.026450
EFCC1	0.026429
TKTL1	0.026350
TLR4	-0.026254
PCDHGB2	-0.026161
MYCT1	-0.026050
LRP2	0.026044
PODXL	-0.025932
NOX4	-0.025900
CALCRL	0.025841
PCSK5	0.025806
HSD17B2	0.025803
NAT1	0.025718
LINC00689	0.025677
SEMA3C	-0.025627
GLRX	-0.025625
MARCH4	-0.025583
HHAT	-0.025561
SAG	0.025558
SYT2	0.025551
PRICKLE2	0.025494
CRISPLD2	0.025429
ITGA2	-0.025389
TMX4	0.025332
CCL3	-0.025278
ABCC3	-0.025241
C3orf70	0.025167
LRP4	0.025138
SLC38A4	0.025105
TRAV20	0.025091
TP53BP2	0.025062
DAW1	-0.025057
ARHGEF28	-0.024995
IGSF9	-0.024876
MIR100HG	-0.024848
SHISA2	0.024818
BATF	0.024781
KRT34	-0.024694
CNN1	-0.024666
ARC	0.024642
VWC2	0.024618
FAM105A	0.024478
IL1F10	0.024451
KBTBD11	0.024373
CTHRC1	-0.024332
COL8A1	-0.024306
S1PR1	0.024223
C6orf132	0.024222
PPEF1	0.024145
APOBEC2	0.024103
GPR115	0.024061
COL5A3	-0.024040
CDH1	-0.023920
PDYN	0.023821
IER3	-0.023729
APOD	0.023686
ART3	0.023611
PTPRJ	0.023598
MAP3K7CL	-0.023588
LOC283278	0.023531
ADAMTS1	-0.023519
TMEM61	0.023517
LGSN	0.023423
SLC35D3	0.023418
ZSCAN4	-0.023400
NPPC	0.023387
CREG2	-0.023368
RBM47	0.023365
TRPC5OS	0.023357
MTTP	0.023352
IP6K3	0.023351
OLFML3	0.023347
FLJ32255	-0.023346
SYT16	-0.023344
PRB1	0.023341
RHOU	0.023335
PDGFB	-0.023314
MSX2	0.023307
F2RL2	-0.023275
NLRP8	0.023264
TNFRSF11B	-0.023218
TMEM255A	0.023204
PGF	0.023162
HAPLN1	-0.023156
C15orf52	-0.023155
LPXN	-0.023132
EREG	-0.023058
LINC01111	-0.023028
MYO10	-0.023017
PTX3	0.023001
FAM83F	0.023001
FAM46A	0.022991
LPAR5	-0.022982
IGFBP1	0.022973
AGRP	0.022973
LOC100507431	-0.022942
CTDSPL	0.022873
FGF1	-0.022862
CDKL5	0.022856
NPY1R	0.022843
OLR1	-0.022819
HEY1	0.022700
PLAT	0.022693
SLC19A2	0.022692
IL2RB	-0.022690
PPP2R3B	0.022540
GPR1	0.022530
TERT	0.022513
LOC100507630	0.022489
CNKSR3	0.022468
BATF2	-0.022338
NSDHL	0.022320
PLOD2	-0.022315
B3GAT2	0.022295
SLCO1B3	-0.022281
SERTAD4-AS1	-0.022271
SNN	0.022244
KCTD3	0.022204
TAGAP	0.022177
EVI2A	-0.022144
HHIP	-0.022136
SAMSN1	-0.022121
COL18A1	0.022117
CST8	0.022074
VEGFC	-0.021980
LPL	0.021955
PDCD1LG2	-0.021890
PHYHD1	0.021887
COL1A1	-0.021884
STX11	0.021878
NDRG1	0.021857
TUFT1	-0.021851
TRGV7	0.021825
ANKRD30B	-0.021796
DUSP1	0.021788
KCNJ4	0.021767
ATP1A2	-0.021753
INHBA	-0.021746
FLVCR2	0.021743
LRRC56	0.021715
CX3CL1	-0.021679
ITGB3	-0.021671
MAGEB3	0.021632
C6orf118	0.021624
GSG1	-0.021595
DPP4	0.021591
CASP1	-0.021561
SULF1	-0.021500
TMEM45A	-0.021485
PCDH18	-0.021477
LIMCH1	-0.021460
ENDOD1	0.021435
TBC1D10C	-0.021401
MIR181A2HG	-0.021387
MMP10	0.021366
WDR60	0.021351
FAM104A	0.021331
SEPP1	-0.021269
FGD6	-0.021263
WNT4	0.021245
CD300LD	0.021231
ABCD1	0.021160
NXPH2	-0.021146
BDKRB1	-0.021121
MARC1	-0.021116
FAM213A	0.021113
CCRL2	-0.021053
SLC2A14	0.020992
CAPN6	-0.020969
ADAM12	-0.020948
NSG1	0.020905
ARHGAP9	0.020888
ADAMTS12	-0.020872
CALCR	0.020837
TRIML2	-0.020834
TFRC	-0.020825
GSTM3	0.020815
MUC3B	-0.020815
TNIP3	-0.020813
HSF2BP	-0.020773
SYT12	-0.020725
CERS3	0.020722
ZNF479	0.020706
DLL1	0.020702
TIAM2	-0.020700
RIMBP2	0.020688
MICALCL	-0.020686
PLAC8	-0.020675
HSPB2	-0.020645
SFTA1P	-0.020627
CCL20	-0.020580
DPY19L2	-0.020503
CDO1	0.020480
BARHL2	0.020432
RNF43	-0.020400
ID4	0.020392
ARHGAP28	-0.020363
PHLDB2	-0.020340
TIGD3	0.020311
KIAA1324	-0.020305
VPREB1	0.020275
PCSK1	-0.020264
TFAP2D	-0.020263
HSPA6	0.020246
SPINK4	0.020242
LINC00707	-0.020236
TGFBR3	0.020233
EDIL3	-0.020218
CYP3A4	0.020155
RASSF2	0.020109
NF2	-0.020085
VIP	-0.020073
SSR4P1	0.020063
LGALS14	-0.020062
CCBE1	-0.020043
FGD4	0.020030
S1PR4	-0.020015
RASGRF1	-0.019998
UNC79	0.019923
BACE2	-0.019917
SH2D5	-0.019913
PAQR5	-0.019878
CACNA1E	0.019854
IL12A	-0.019844
VMP1	-0.019828
GKN1	-0.019805
SLFN11	-0.019797
SOCS1	0.019782
PLCB4	0.019774
SCN9A	-0.019756
TNFAIP2	-0.019718
BCR	0.019698
C8orf4	-0.019678
ATP1A4	0.019654
