!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform B)
!perturbation	Dexamethasone
!disease	hGRalpha-B - 100nM - 6 hrs
!end_metadata
FAM90A25P	0.093320
FAM90A1	0.087872
SNTG2	0.078423
SPINK13	0.077739
CA4	0.075411
SYT13	0.072974
NLRP7	0.067786
SAG	0.067668
CILP	0.067529
S100P	0.066037
FLJ38379	0.065565
ATP4A	0.064533
KCNA4	0.062697
CDH16	0.061119
CYTIP	0.060551
CARD14	0.059674
PNLIP	0.059229
KDF1	0.058303
C15orf27	0.058055
FLRT3	0.057701
CHRDL2	0.057575
SCRG1	0.057410
KRT5	0.057253
HBM	0.056905
SOAT2	0.056291
PTGS1	0.053744
CSF3	0.053572
HBZ	0.052246
GRASP	0.051669
C1orf186	0.051061
ZAP70	0.050840
NANOG	0.050017
FAM83F	0.049752
WFDC11	0.049674
SV2B	0.048692
FAM198A	0.048618
ACTL8	0.048363
LOC100507639	0.047793
PDK4	0.047702
APOBEC2	0.047614
CA9	0.047492
ABCC8	0.046993
LINC00880	0.046193
TIPARP	0.045779
TPO	0.045718
RGS2	0.045175
PENK	0.045098
CA2	0.044837
LAD1	0.044626
DNASE1L3	0.044527
GPER1	0.044075
CNGA3	0.043840
LINC00689	0.043527
KCNG1	0.043112
EDNRA	0.042658
SPINK5	0.041768
C8G	0.041568
RNASE11	0.041064
SMIM3	0.040940
AMIGO2	-0.040931
NLRP3	0.040915
EGFLAM	0.040912
SLC6A3	0.040701
ZNF189	0.040680
PCBP3	0.040676
CST9L	0.040659
CALB1	0.040633
CCL2	-0.040593
MYT1	0.040477
ABCG5	0.040210
SHC4	0.040182
TGFB2-OT1	-0.039995
TDRD9	0.039989
LGSN	0.039855
FHL2	-0.039578
CRTAC1	0.039346
B3GAT1	0.039280
CD163	0.039266
NTF3	0.039212
C11orf96	0.039206
SGSM1	0.039097
FETUB	0.039047
IL18RAP	0.038932
DNER	0.038555
HSPA6	0.038392
IP6K3	0.038364
SLC25A18	0.038191
TNFRSF1B	0.038164
