!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 12 hrs
!end_metadata
FAM90A25P	0.090684
FAM90A1	0.087502
ACTL8	0.075552
HBM	0.071548
ATP4A	0.068514
SAG	0.064068
FLJ38379	0.061540
HBZ	0.060127
LINC00689	0.059665
CST9L	0.056922
CALB1	0.054278
S100P	0.053648
LOC100507639	0.053219
PCBP3	0.052412
DLL1	0.052119
LGSN	0.050529
WFDC11	0.049919
TRIM49	0.049822
ABCG5	0.049084
ARC	0.048909
SPINK13	0.048001
NLRP7	0.047196
GRASP	0.046809
SNTG2	0.046151
CA2	0.046102
RGS2	0.045390
FLRT3	0.045292
KCNA4	0.044834
CA4	0.044537
SNAI1	0.044414
ADM	0.043591
SHOX	0.043087
FAM83F	0.042457
RASD1	0.042086
KDF1	0.041737
SLC6A3	0.041314
HOXD1	0.041292
LPL	0.041153
DNM3	-0.040848
MMP10	0.040100
CRYBA2	0.039953
FHL2	-0.039817
CYTIP	0.039475
NR0B1	0.039223
FTCD	0.039135
PTPRR	-0.038602
PCDH8	0.037870
GPER1	0.037301
CLDN1	-0.037112
GZMA	0.037107
ZAP70	0.037099
C11orf96	0.037087
SCGB2A1	0.036998
FAM198A	0.036985
PLEK2	-0.036642
ITIH3	0.036409
FRG2	0.036380
LINC00965	0.036237
RNF43	-0.035436
TGFB2-OT1	-0.035143
RADIL	0.034964
RAB7B	-0.034521
AGT	0.034495
CHST8	0.034406
BTLA	0.034353
SOAT2	0.034178
GPRIN2	0.034096
CRTAC1	0.033986
AMIGO2	-0.033895
NXPH1	0.033839
RP1L1	0.033804
F2RL2	-0.033581
CAPN8	0.033571
KBTBD11	0.033519
C7orf57	0.033425
THBS2	0.033255
ANXA10	-0.033097
COL18A1	0.032784
FRK	0.032779
CASR	0.032705
MYO10	-0.032371
FLJ40712	0.032336
VIT	0.032139
CYP24A1	-0.032031
BAI1	0.032022
CARD14	0.031932
KRT75	-0.031824
ABCC8	0.031512
ATP1A2	-0.031488
PNLIP	0.031462
PTX3	0.031416
GUCY2F	0.031339
KCTD4	-0.031174
F11	0.031123
CSF3	0.031115
NEB	0.031102
PPP2R3B	0.031066
ARHGAP9	0.030947
IL7R	-0.030877
HRCT1	-0.030721
TGFBI	-0.030669
KIF25	0.030617
ERV9-1	0.030477
TIPARP	0.030474
HBA1	0.030312
NOS2	0.030293
VDR	0.030251
KCNN4	-0.030240
EGFLAM	0.029992
SGK1	0.029977
SNN	0.029921
CHRNA7	0.029919
NTF3	0.029895
SWT1	0.029872
IL18	-0.029861
CLCN2	0.029842
NELL1	0.029787
LRRC56	0.029736
B3GAT1	0.029724
TERT	0.029546
MYH13	0.029538
IGKV1D-13	0.029528
BRS3	0.029481
PDK4	0.029478
EDNRA	0.029461
CDKL5	0.029232
OR52K3P	0.029110
ALPK2	-0.029060
LOC642620	0.028915
GLI1	-0.028857
SEMA3G	0.028856
KRT80	-0.028832
FZD4	0.028826
FAM135B	0.028807
TMEM200B	0.028788
TXNRD2	-0.028719
TRIM48	0.028690
GPRC5A	-0.028653
OR7E91P	0.028653
NNMT	-0.028616
LRRC4C	-0.028499
MC5R	0.028426
SHISA2	0.028407
MIG7	-0.028352
AJUBA	-0.028177
RASA3	0.028169
SYT13	0.028149
NEFH	0.028123
CYP2C9	0.028111
NOSTRIN	0.028088
ANKRD20A9P	0.027932
THSD1	0.027908
CHRDL2	0.027883
LOC79160	-0.027860
KRTAP2-3	-0.027860
ITGB2	0.027854
KCNJ15	-0.027766
RGAG4	0.027741
MAP3K7CL	-0.027659
KREMEN1	0.027640
GLT1D1	0.027603
GSTM3	0.027594
ST6GALNAC5	-0.027553
FOXJ1	0.027494
MAP1A	0.027438
ACTN2	0.027429
CCDC42	0.027382
CLIP4	-0.027345
CARD10	-0.027313
FHDC1	0.027281
TIGD3	0.027253
LOC100507022	0.027231
TGFB2	-0.027066
TMC5	-0.027047
TXNRD1	-0.027026
AMZ1	0.026824
TPO	0.026801
PHLDA2	0.026754
USP17L2	0.026713
AXL	-0.026712
BAMBI	0.026623
SGSM1	0.026563
ADAMTS1	-0.026475
ABCB4	0.026402
LOC101926940	-0.026378
HSD11B2	0.026328
CDH15	0.026272
NOX4	-0.026262
ZNF57	0.026242
SLC35F3	-0.026220
PNLIPRP2	0.026161
UMODL1	0.026098
C5orf66	0.026067
F2R	-0.025997
INHBA	-0.025857
TG	0.025796
NANOG	0.025753
