!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 24 hrs
!end_metadata
FAM90A25P	0.100695
FAM90A1	0.097843
ACTL8	0.076897
S100P	0.062462
CST9L	0.061290
HBM	0.059948
PCBP3	0.058205
SPINK13	0.056849
RGS2	0.056507
HBZ	0.056148
LINC00689	0.055460
FLJ38379	0.054955
FRG2	0.052555
C11orf96	0.050854
LRRC56	0.049956
FLRT3	0.049023
CA2	0.047894
WFDC11	0.047626
SLC6A3	0.047447
FTCD	0.046659
LGSN	0.046416
PCDH8	0.046407
ATP4A	0.046337
SAG	0.045273
FRK	0.044484
PNLIP	0.044312
ADM	0.043892
HOXD1	0.043468
DLL1	0.043031
CRTAC1	0.042330
CSF3	0.042177
KCNA4	0.042088
SNAI1	0.041931
GRASP	0.041045
SCGB2A1	0.040899
CALB1	0.040875
KDF1	0.040590
SGK1	0.040072
TRIM49	0.039552
ARC	0.039227
NR0B1	0.039094
NANOG	0.038703
CYTIP	0.038527
MAP1LC3C	-0.038418
LOC100507022	0.038291
NEFH	0.038215
RASD1	0.038173
CA4	0.038022
NXPH1	0.037486
NPPC	0.037199
SWT1	0.037158
CADPS	0.036817
TIPARP	0.036794
IGKV1D-13	0.036740
CILP	0.036639
TRIM48	0.036605
RUNX3	0.036145
TEX11	0.036056
GPER1	0.036034
LINC00965	0.035919
CDH16	0.035812
ERV9-1	0.035672
LPL	0.035533
SCRG1	0.035489
CRYBA2	0.035450
ACTN2	0.035416
CASR	0.035187
GZMA	0.035156
HLA-DPB1	0.035102
CD163	0.034834
LOC100507639	0.034810
SLC51B	0.034736
PTPRR	-0.034488
RP1L1	0.034184
OR7E91P	0.033566
NEB	0.033548
BTLA	0.033344
SNTG2	0.032829
RASA3	0.032629
PDK4	0.032204
CSRP3	-0.032155
GLI1	-0.032147
CEACAM4	0.032046
ATP6V0A1	-0.031641
LINC00880	0.031490
PRB1	0.031390
