!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1R cells  
!perturbation	Dexamethasone
!disease	Multiple myeloma (GC resistance)
!end_metadata
ACTG1P4	-0.059926
CAMK1G	-0.058980
TMEM191A	-0.055775
NOMO3	0.053605
PTMA	-0.053541
PTPLAD2	-0.052935
TMEM106A	-0.052837
XPOT	0.050128
EIF3CL	0.049864
H3F3AP4	-0.049561
LBR	0.047731
MDFIC	0.047385
CDK12	-0.045823
PPIB	-0.045519
ZBTB38	0.045481
AOC4P	-0.045434
FOS	-0.044890
KLF2	0.044593
USP49	-0.043956
USH1G	-0.043540
SLC5A8	-0.043158
SSTR2	-0.042788
TXNIP	0.042577
LOC390956	-0.042524
HSPE1	-0.042018
LMAN1	0.040150
CASC4	0.040083
LOC644936	-0.039912
ANKRD37	0.039754
NUBPL	-0.038557
LRRC37BP1	-0.037931
RPL21	0.037549
GPRC5D	0.037443
QPRT	0.037371
FLJ43681	-0.037281
RRM2	0.036980
RAMP2-AS1	-0.036668
MBD4	-0.036446
NACA2	-0.036383
TRIM61	0.036214
LOC728026	-0.035787
MEX3C	-0.035630
MIAT	-0.035385
CCNC	0.034997
ZNF223	-0.034879
BMS1P5	-0.034824
NLRP7	-0.034767
IL6R	0.034726
CD200R1	0.034553
ZNF738	-0.034537
SLC38A2	-0.033724
EVI5	-0.033649
TRUB1	0.033443
SRSF11	-0.033218
DHX33	-0.033167
RNVU1-18	0.032944
MAGT1	-0.032930
BPNT1	0.032929
IDH1	0.032928
MFSD11	-0.032836
ZNF860	-0.032334
AGPAT5	0.032287
EFEMP1	0.032266
HAUS2	-0.032112
GTF2IP1	0.031961
BLZF1	-0.031790
SMCR5	-0.031705
ARRDC3	0.031608
HSPH1	0.031490
PTGR2	-0.030985
SLC44A1	0.030951
ZNF486	-0.030882
LOC100128288	-0.030788
SNORD3A	0.030680
RPL14	-0.030405
IER5	-0.030338
TMEM70	-0.030102
RNU4ATAC	0.029742
CASP3	0.029558
STT3B	0.029467
ITPK1-AS1	-0.029414
EIF4G2	0.029406
ALPP	-0.029378
FNTA	0.029324
RPL23	-0.029233
NET1	0.029223
LMOD3	-0.028973
ZFP36	0.028903
TMSB4X	-0.028679
JAK1	0.028581
VOPP1	0.028533
HSD17B7	-0.028498
B3GNT2	0.028455
SNORD36A	-0.028341
DUSP19	-0.028277
METTL7A	-0.028245
SLC39A1	-0.028148
SCNN1G	-0.028113
GFM2	0.028017
INSIG1	0.028004
ALDOC	0.027915
DDX17	0.027910
CHAC1	-0.027842
UBA3	0.027804
EIF4E3	0.027695
AMD1	0.027672
KLHL21	-0.027661
NOMO1	0.027569
MSMO1	0.027531
RPSAP58	0.027509
NDUFB9	-0.027437
NAMPT	0.027429
MAL2	0.027415
CPEB4	0.027402
NEK7	0.027374
ERGIC2	-0.027365
TRIB1	0.027333
OIP5-AS1	0.027323
C17orf80	0.027183
TOP1P2	-0.027009
UQCRH	-0.027003
DENND4B	-0.026991
SLC38A1	0.026912
TXNRD1	0.026880
CRYBB1	-0.026624
ASCC2	0.026614
RPS28	-0.026614
MATR3	0.026565
UCP2	0.026522
HPS3	0.026447
RSRP1	-0.026384
RNA28S5	0.026321
PGAM1	0.026312
CYB5R2	0.026290
NCF1	0.026268
SAFB2	-0.026245
AMY1B	-0.026245
KIF5B	0.026231
UGCG	0.026165
CENPW	-0.026011
RNFT1	0.026010
TAF15	-0.025987
AGO2	0.025971
CLUH	-0.025902
TBC1D32	-0.025897
RAB15	-0.025876
YWHAZ	0.025827
RNVU1-7	0.025632
YWHAE	0.025612
KPNB1	-0.025543
LRRC41	0.025518
SRRM2	-0.025413
RNU1-1	0.025369
FZD6	-0.025367
TCEA1	0.025336
SNORA73B	0.025298
P2RX5	0.025286
BTBD2	0.025246
RHBDL2	-0.025224
MRPL1	-0.025185
MORF4L2	0.025183
RPL23AP64	-0.025159
HECA	-0.025106
ACTR3	-0.024910
MAP3K1	-0.024879
PALD1	-0.024718
SNORA63	0.024667
DCBLD1	0.024588
HMGCS1	0.024575
LEFTY2	0.024520
MUS81	-0.024511
CRIPAK	-0.024480
TYMSOS	-0.024425
ACO1	0.024347
SNORD110	0.024340
P2RY10	0.024298
FKBP1A	0.024231
HNRNPA1	0.024223
