!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1R (GC resistant)
!perturbation	Dexamethasone
!disease	1µM
!end_metadata
DDX17	0.050201
RINL	0.041050
IKZF3	0.040850
NOMO3	0.040842
RNA18S5	0.040664
BBX	0.038139
SNORD110	0.036445
CYSTM1	-0.036237
SLC38A1	0.036050
DCBLD1	0.033011
ALKBH8	0.032457
EIF3CL	0.031979
SNORA80A	0.031928
SFMBT2	0.031615
RNU4-2	0.031416
PRPF40A	0.031130
FICD	0.030910
SYNJ2BP	0.030755
PAPD5	0.030681
AMD1	0.030668
HOOK1	0.030298
IL6R	0.030107
ZNF689	0.029884
LRRC59	-0.029851
GSK3B	0.029776
TSPAN5	0.029733
RNF122	-0.029253
UGCG	0.028964
FLJ43681	-0.028487
LOC100129034	-0.028427
NDE1	0.028375
CARM1	0.028318
TCF4	0.028313
SNORD17	0.028005
RPL14	-0.027994
RARRES3	-0.027699
ARMC1	0.027655
KIAA0020	0.027489
KCTD20	0.027485
LBR	0.027484
DAPK3	-0.027466
ZDHHC14	0.027345
GPRC5D	-0.027274
MLLT1	0.027239
ZNF300P1	-0.027230
NCMAP	0.027215
KRT10	-0.026996
AGO2	0.026968
ZNF775	-0.026889
SLAMF7	-0.026741
ZNF91	0.026439
HOTTIP	0.026369
ASXL2	0.026366
MAP2K2	0.026253
TGFBRAP1	0.026218
FAM162A	-0.026136
TMEM38A	0.025946
RAPGEF5	-0.025934
XPOT	0.025841
CMTM5	-0.025795
NFKBIA	0.025771
ITGA11	0.025755
STRN3	-0.025745
YIPF6	0.025527
LOC400654	0.025490
PCGF5	-0.025477
NPDC1	-0.025410
GUCY1A3	0.025378
USE1	-0.025374
CDKN1B	-0.025370
DDX49	0.025366
METTL2A	0.025359
PCMTD1	-0.025315
SNORD35B	-0.025202
LYSMD1	-0.025059
ZBTB43	0.024978
IZUMO4	-0.024722
OAZ2	-0.024708
SCAMP4	-0.024559
BARD1	0.024360
MTMR12	-0.024314
NPAT	0.024249
SNORD14D	0.024246
LYN	0.024234
C2orf48	0.024195
USP4	0.024194
METTL7A	-0.024172
LOC101929625	0.024153
SPIN1	0.024134
THUMPD3	-0.024056
SNORD14C	0.024006
IQGAP1	-0.023972
SNORD48	0.023947
SLC38A5	0.023848
ANKRD36B	0.023810
DRD4	0.023709
FAM133CP	0.023679
NLN	0.023609
ZNF148	0.023500
ABHD17C	0.023482
SNORD69	0.023395
UBE4A	-0.023388
VPS26B	0.023373
TRUB1	0.023373
ISG20L2	0.023268
VAV2	0.023248
TBC1D9	-0.023232
PPFIA3	0.023231
GINS4	0.023225
DGKG	0.023188
CIC	-0.023170
CPEB4	0.023169
CD200R1	0.023162
CRIPAK	-0.023133
MAFG-AS1	0.023130
GPC2	-0.023115
ATF6	0.023112
CYCS	-0.023095
RRAGC	0.023090
ANKRD37	-0.023057
HSD17B8	-0.023044
TMBIM1	0.023017
DOCK8	-0.022993
TRIM25	-0.022945
BFAR	0.022904
MATR3	0.022904
SUCLG2-AS1	-0.022898
