!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!organism	Homo sapiens
!cell	sensitive leukemia cell lines CEMC7H2 T-ALL
!perturbation	Dexamethasone
!disease	T-ALL
!end_metadata
TSC22D3	0.123146
TNFSF8	0.118945
CD69	0.111070
NFIL3	0.104298
SMIM3	0.100369
FKBP5	0.093116
GRASP	0.092741
ISG20	0.091560
CRISPLD1	0.090324
ST3GAL6	0.078773
NR3C1	0.071108
PIK3IP1	0.070311
IL7R	0.065621
ITGA6	0.062732
YOD1	0.061388
BTG1	0.057617
DDIT4	0.057085
CCR4	0.056795
SMAP2	0.056616
UBASH3B	0.056576
RCSD1	0.053542
RSAD2	0.053500
WFS1	0.053106
TSHZ3	0.050022
PFKFB2	0.049747
DFNA5	0.048298
BIRC3	0.047993
NFKBIA	0.047595
USP20	0.047496
BMX	0.047207
SOCS1	0.047114
USP53	0.046773
RUNX2	0.046569
SLA	0.046015
KLF13	0.045418
CD1C	-0.044894
DDIT4L	-0.044211
AUH	0.043537
JUN	0.043455
IER3	-0.043108
PCAT18	0.042509
MYO1B	0.042485
KATNAL1	0.041506
PLD6	-0.041183
PLEKHG1	-0.041109
ZNF580	0.040959
ZFP36L2	0.040371
HS3ST4	0.040150
SGK223	0.040033
GRAP2	0.039936
DNAJC17	0.039769
HES1	-0.039582
AMH	0.039257
LINC01226	0.039232
GPR84	-0.038711
ID3	-0.037743
MEF2C	-0.037323
INPP1	0.037220
AIM1	0.037211
TRIB1	0.037184
IRGM	0.036430
BCL2L11	0.036328
CD1E	-0.035640
LGALS1	-0.035510
CHI3L2	-0.035117
STIM1	0.034964
FAM65B	0.034817
BATF3	-0.034698
BMS1P5	0.034615
ABCC5	0.034457
WDR17	-0.034395
LOC100130872	0.034369
ELOVL4	-0.034144
STARD4	-0.033973
SPDYE1	0.033819
AZI2	0.033455
DUSP6	0.033226
FAM214A	0.033162
ENDOD1	-0.032996
CCDC92	0.032976
CELF2	0.032608
KIAA1804	-0.032495
NRTN	0.032419
CAMK1D	0.032094
ASXL2	0.032091
ID2	0.031594
SMAP1	0.031478
SPCS2	0.031231
LINC00565	0.031132
KLHL24	0.030992
EVI2B	0.030921
LYSMD2	-0.030733
INCENP	0.030690
GRAMD4	0.030500
RCAN1	0.030261
MIR646HG	0.030180
TDRD9	0.029723
FAT1	0.029688
IFI44	0.029577
EIF5A2	-0.029543
FRAT1	0.029420
NGFRAP1	0.029358
CYTIP	0.029131
DISP1	0.029121
LIG4	-0.028923
MXI1	-0.028921
AGAP4	0.028579
RGMA	-0.028410
EFCAB7	0.028401
LENG8	0.028327
HEMGN	0.027954
NAPSA	-0.027857
LOC100132884	0.027701
RFPL3S	0.027664
GHDC	0.027572
HNRNPUL2	0.027539
HIST1H1B	0.027465
SLCO4C1	-0.027445
NAGK	-0.026922
TAPT1-AS1	0.026891
TFPI	0.026853
