!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!organism	Homo sapiens
!cell	CEMC7H2
!perturbation	Dexamethasone
!disease	T-ALL
!end_metadata
ADM	-0.112443
GPR146	-0.102884
TSC22D3	0.083618
FKBP5	0.070806
ISG20	0.069379
AMH	0.057242
BNIP3	-0.056542
PFKFB2	0.055774
ST3GAL6	0.052452
UBASH3B	0.050373
WFS1	0.049274
SMIM3	0.049089
PFKFB3	-0.048947
DNAJC17	0.048328
ITGA6	0.048181
YOD1	0.045308
BHLHE40	-0.044909
PIK3IP1	0.043344
FAIM3	0.041193
NR3C1	0.040707
TNFSF8	0.040642
LENG8	0.040407
GRASP	0.040177
BTG1	0.040159
CD69	0.039555
STK17B	0.039411
NDRG1	-0.039198
DUSP6	0.039181
IL7R	0.038417
SMAP2	0.038113
HIST1H2AC	0.038099
IRF9	0.038064
MT1E	0.037977
RGS1	0.037951
IFI44	0.037858
LY96	0.037558
UMODL1	-0.037255
SORBS3	0.036872
USP20	0.036861
MT1F	0.036483
SH2D2A	0.036281
ABCG1	-0.036161
ZNF580	0.035756
AGAP4	0.035604
MALAT1	0.035066
DDX17	0.035028
TMEM2	0.034619
MYO1B	0.034581
MT1X	0.034576
FGD5	-0.034445
MICAL1	0.034045
GHDC	0.033803
AGPAT1	0.033641
ZFP36L2	0.033152
BMX	0.032963
DFNB59	0.032804
ASB16-AS1	0.032674
SLA	0.032459
DFNA5	0.032359
PCNXL3	0.032193
MTA2	0.032071
SLFN5	0.031665
MYPOP	0.031208
LGMN	-0.030904
PLEC	0.030461
DGKA	0.030216
USF1	0.030117
TXNIP	0.030052
AKT1S1	0.029912
CRTC2	0.029851
LINC00537	0.029716
PLK1	-0.029705
FAM110A	0.029632
NOG	-0.029629
CLPTM1	0.029572
CHST7	0.029402
TRPC5OS	0.029204
ZNF501	0.029175
CRISPLD1	0.029121
SLC27A4	0.029107
ATG9A	0.029097
SLC2A3	-0.029032
TP53INP2	0.028682
RPGR	-0.028626
ALDH16A1	0.028549
ZNF225	0.028470
HIST1H1B	0.028458
SBK1	-0.028343
LEF1	0.028073
VEGFA	-0.028040
