id,cas_num,ctrl_ids,dose,drug_name,drugbank_id,geo_id,organism,pert_ids,platform,smiles,timepoint,tissue,vehicle,version
drug:DM2477,15307-79-6,GSM1456889|GSM1456922|GSM1457134|GSM1457518|GSM1457554|GSM1457594|GSM1457882|GSM1458040|GSM1458084|GSM1459881|GSM1459882|GSM1459883|GSM1460267|GSM1460277|GSM1460280|GSM1460282|GSM1460338|GSM1460417|GSM1460537|GSM1460554|GSM1460826|GSM1460840|GSM1460887|GSM1460949|GSM1460958|GSM1460986|GSM1460988|GSM1461046|GSM1461055|GSM1461070|GSM1461475|GSM1461686,3.5 mg/kg,Diclofenac,DB00586,GSE59927,rat,GSM1457908|GSM1457909|GSM1457910,GPL5425,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,5 d,Liver,Corn Oil,1.2
drug:DM3599,8052-21-9,GSM1452555|GSM1452566|GSM1452610|GSM1452643|GSM1452663|GSM1452678|GSM1452726|GSM1452749|GSM1452776|GSM1452808|GSM1452820|GSM1452856|GSM1452865|GSM1452888|GSM1452916|GSM1452920|GSM1452940|GSM1452954|GSM1452972|GSM1452987|GSM1452999|GSM1453011|GSM1453033|GSM1453044|GSM1453059|GSM1453084|GSM1453088|GSM1453115|GSM1453150|GSM1453181|GSM1453186|GSM1453195|GSM1453238|GSM1453258|GSM1453279|GSM1453288|GSM1453293|GSM1453313|GSM1453318|GSM1453322,263 uM,Diphenhydramine,DB01075,GSE59927,rat,GSM1453026|GSM1453090|GSM1453105,GPL5426,[H+].[Cl-].CN(C)CCOC(c1ccccc1)c2ccccc2,0.67 d,Primary rat hepatocytes,DMSO,1.2
drug:DM2476,15307-79-6,GSM1456835|GSM1456917|GSM1457032|GSM1457033|GSM1457104|GSM1457106|GSM1457525|GSM1457579|GSM1458082|GSM1458141|GSM1458544|GSM1458866|GSM1458886|GSM1459800|GSM1459801|GSM1459802|GSM1461395|GSM1461396|GSM1461469|GSM1461470,3.5 mg/kg,Diclofenac,DB00586,GSE59927,rat,GSM1457883|GSM1457884|GSM1458319,GPL5425,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.25 d,Liver,Corn Oil,1.2
drug:DM2372,55-98-1,GSM1456836|GSM1456888|GSM1457035|GSM1457133|GSM1457527|GSM1457593|GSM1457881|GSM1457941|GSM1457944|GSM1458727|GSM1458955|GSM1459878|GSM1459879|GSM1459880|GSM1459956|GSM1459957|GSM1459958|GSM1460302|GSM1460303|GSM1460337|GSM1460416|GSM1460536|GSM1460794|GSM1460839|GSM1460871|GSM1460957|GSM1460961|GSM1460985|GSM1460987|GSM1461045|GSM1461069|GSM1461074|GSM1461083|GSM1461094|GSM1461103|GSM1461113|GSM1461114|GSM1461403|GSM1461423|GSM1461445|GSM1461474|GSM1461476|GSM1461676,9 mg/kg,Busulfan,DB01008,GSE59927,rat,GSM1457785|GSM1457786|GSM1457787,GPL5425,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,3 d,Liver,Corn Oil,1.2
drug:DM2373,55-98-1,GSM1456889|GSM1456922|GSM1457134|GSM1457518|GSM1457554|GSM1457594|GSM1457882|GSM1458040|GSM1458084|GSM1459881|GSM1459882|GSM1459883|GSM1460267|GSM1460277|GSM1460280|GSM1460282|GSM1460338|GSM1460417|GSM1460537|GSM1460554|GSM1460826|GSM1460840|GSM1460887|GSM1460949|GSM1460958|GSM1460986|GSM1460988|GSM1461046|GSM1461055|GSM1461070|GSM1461475|GSM1461686,9 mg/kg,Busulfan,DB01008,GSE59927,rat,GSM1457788|GSM1457789|GSM1457803,GPL5425,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,5 d,Liver,Corn Oil,1.2
drug:DM2370,55-98-1,GSM1456835|GSM1456917|GSM1457032|GSM1457033|GSM1457104|GSM1457106|GSM1457525|GSM1457579|GSM1458082|GSM1458141|GSM1458544|GSM1458866|GSM1458886|GSM1459800|GSM1459801|GSM1459802|GSM1461395|GSM1461396|GSM1461469|GSM1461470,9 mg/kg,Busulfan,DB01008,GSE59927,rat,GSM1457780|GSM1457781|GSM1457782,GPL5425,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,0.25 d,Liver,Corn Oil,1.2
drug:DM2371,55-98-1,GSM1456921|GSM1457034|GSM1457105|GSM1457526|GSM1457592|GSM1457934|GSM1458083|GSM1458142|GSM1458887|GSM1459260|GSM1459261|GSM1459864|GSM1459865|GSM1459866|GSM1459954|GSM1459955|GSM1460249|GSM1460301|GSM1460394|GSM1460415|GSM1460573|GSM1460662|GSM1460792|GSM1460838|GSM1460860|GSM1460948|GSM1460960|GSM1461012|GSM1461024|GSM1461044|GSM1461054|GSM1461068|GSM1461400|GSM1461402|GSM1461422|GSM1461444|GSM1461675,9 mg/kg,Busulfan,DB01008,GSE59927,rat,GSM1457783|GSM1457784|GSM1458296,GPL5425,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,1 d,Liver,Corn Oil,1.2
drug:DM2746,119-04-0,GSM1456889|GSM1456922|GSM1457134|GSM1457518|GSM1457554|GSM1457594|GSM1457882|GSM1458040|GSM1458084|GSM1459881|GSM1459882|GSM1459883|GSM1460267|GSM1460277|GSM1460280|GSM1460282|GSM1460338|GSM1460417|GSM1460537|GSM1460554|GSM1460826|GSM1460840|GSM1460887|GSM1460949|GSM1460958|GSM1460986|GSM1460988|GSM1461046|GSM1461055|GSM1461070|GSM1461475|GSM1461686,877 mg/kg,Neomycin,DB00994,GSE59927,rat,GSM1457970|GSM1457976|GSM1458721,GPL5425,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O,5 d,Liver,Corn Oil,1.2
drug:DM2376,56-23-5,GSM1456921|GSM1457034|GSM1457105|GSM1457526|GSM1457592|GSM1457934|GSM1458083|GSM1458142|GSM1458887|GSM1459260|GSM1459261|GSM1459864|GSM1459865|GSM1459866|GSM1459954|GSM1459955|GSM1460249|GSM1460301|GSM1460394|GSM1460415|GSM1460573|GSM1460662|GSM1460792|GSM1460838|GSM1460860|GSM1460948|GSM1460960|GSM1461012|GSM1461024|GSM1461044|GSM1461054|GSM1461068|GSM1461400|GSM1461402|GSM1461422|GSM1461444|GSM1461675,1175 mg/kg,Carbon Tetrachloride,,GSE59927,rat,GSM1456496|GSM1456497|GSM1456613,GPL5425,ClC(Cl)(Cl)Cl,1 d,Liver,Corn Oil,1.2
drug:DM2377,56-23-5,GSM1456835|GSM1456917|GSM1457032|GSM1457033|GSM1457104|GSM1457106|GSM1457525|GSM1457579|GSM1458082|GSM1458141|GSM1458544|GSM1458866|GSM1458886|GSM1459800|GSM1459801|GSM1459802|GSM1461395|GSM1461396|GSM1461469|GSM1461470,1175 mg/kg,Carbon Tetrachloride,,GSE59927,rat,GSM1456749|GSM1456750|GSM1457097,GPL5425,ClC(Cl)(Cl)Cl,0.25 d,Liver,Corn Oil,1.2
