gene	GSM5632354	GSM5632355	GSM5632356	GSM5632357	GSM5632358	GSM5632359	GSM5632360	GSM5632361	GSM5632362	GSM5632363	GSM5632364	GSM5632365
A1bg	0	0	0	0	0	0	0	1	0	0	0	0
A1cf	1	0	0	0	0	0	0	0	0	0	0	0
A1i3	160	60	196	328	274	287	179	188	343	113	93	119
A26c2	0	0	0	0	0	0	0	0	0	0	0	0
A2m	32	15	19	62	65	36	28	34	68	23	29	29
A2ml1	1	0	0	0	2	0	3	0	0	2	4	1
A3galt2	80	36	75	68	70	47	63	44	104	55	69	76
A4galt	0	0	2	0	1	2	0	0	0	0	1	0
A4gnt	0	0	0	0	0	0	1	0	0	0	0	0
AA926063	3	0	4	0	0	0	1	2	0	1	1	0
Aaas	541	306	506	295	298	209	304	338	497	446	541	692
Aacs	508	231	391	238	259	212	181	202	357	296	336	417
Aadac	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl4	0	0	0	0	0	0	0	0	0	0	0	0
Aadat	7	7	18	4	12	14	4	7	14	7	9	12
Aaed1	1469	779	1396	648	785	600	606	709	1063	895	1325	1289
Aagab	523	291	530	181	224	190	209	211	334	299	407	431
Aak1	1346	221	1232	655	664	552	541	591	1075	915	1220	1264
Aamdc	85	35	57	19	51	36	30	32	34	43	49	56
Aamp	2037	1107	1874	1009	1017	907	867	1029	1715	1322	1786	1860
Aanat	3	2	1	1	5	1	0	3	0	0	0	0
Aar2	783	369	618	359	401	308	313	415	567	508	678	754
Aard	214	153	177	51	65	49	26	43	37	59	100	97
Aars	5989	2978	5818	2445	2368	2680	1899	2176	4504	3202	4215	4854
Aars2	673	337	598	271	336	263	327	368	574	435	721	757
Aarsd1	775	461	750	342	413	317	333	372	545	473	651	778
Aasdh	754	380	771	437	646	455	479	533	803	500	803	749
Aasdhppt	621	350	562	298	401	263	287	329	424	395	592	566
Aass	61	17	39	29	63	34	29	31	44	31	44	30
Aatf	623	341	580	239	339	240	270	335	481	381	578	478
Aatk	433	260	367	123	155	138	95	120	184	159	267	315
Abat	26	8	11	17	22	18	12	11	22	18	9	10
Abca1	3465	1075	2494	1025	1385	911	744	839	1401	1749	2013	2216
Abca12	4	2	5	1	0	0	2	1	1	2	2	3
Abca13	1	0	3	0	0	0	2	2	0	0	2	2
Abca14	1	0	0	0	1	0	1	3	0	0	2	0
Abca15	0	0	0	0	0	0	0	0	0	0	0	0
Abca16	6	0	6	4	3	4	2	6	8	9	7	8
Abca17	3	2	5	5	5	5	3	2	6	4	7	8
Abca2	1680	780	1630	766	684	643	477	535	928	859	1137	1313
Abca3	795	366	743	324	397	358	224	235	532	411	561	725
Abca4	22	7	35	13	15	1	30	30	38	21	16	44
Abca5	1611	640	1508	613	1026	596	567	781	1017	1222	1619	1649
Abca6	1	0	0	0	1	0	0	0	1	2	2	0
Abca7	245	148	234	115	110	87	144	129	235	166	250	332
Abca8	65	37	52	24	30	16	40	32	57	51	69	90
Abca8a	121	63	107	31	47	39	29	25	40	48	81	86
Abca9	742	218	547	357	476	307	209	262	354	366	455	466
Abcb10	362	184	324	157	153	168	125	160	273	219	284	286
Abcb11	0	0	0	0	0	0	0	0	0	0	0	1
Abcb1a	47	24	56	43	34	58	9	22	51	19	22	20
Abcb1b	134	56	135	168	128	152	272	350	358	354	464	386
Abcb4	36	11	22	4	3	5	7	4	7	17	10	17
Abcb5	0	0	0	0	0	0	0	0	0	0	0	0
Abcb6	1621	923	1603	782	903	654	688	691	1109	836	1175	1384
Abcb7	322	106	298	170	171	128	114	167	226	190	281	287
Abcb8	1158	589	1173	569	595	507	495	557	973	853	1002	1266
Abcb9	395	219	354	145	122	166	121	128	280	231	267	299
Abcc1	676	241	610	266	371	240	324	297	556	453	608	696
Abcc10	280	176	576	142	223	238	133	158	464	240	365	578
Abcc12	0	0	0	0	1	0	0	0	0	0	1	0
Abcc2	1	1	1	1	2	1	2	3	4	5	2	5
Abcc3	553	192	567	256	287	227	244	258	451	410	511	564
Abcc4	528	218	558	233	229	272	267	328	556	543	584	667
Abcc5	1897	826	2169	1031	1176	901	782	807	1485	1192	1611	1671
Abcc6	4	1	4	0	0	2	1	0	1	1	2	0
Abcc8	140	78	184	35	54	38	36	29	55	98	127	150
Abcc9	409	178	326	181	251	117	122	141	212	159	269	275
Abcd1	484	254	460	227	260	180	175	213	316	300	369	423
Abcd2	86	44	86	41	30	34	29	21	40	64	84	85
Abcd3	1738	723	1309	693	930	616	666	672	1049	979	1363	1404
Abcd4	267	175	337	150	164	129	146	134	247	139	313	322
Abce1	3925	1833	3691	1841	2477	1698	1709	2156	3108	2508	3715	3629
Abcf1	2276	1109	2190	995	1002	961	945	1079	1961	1463	2017	2301
Abcf2	1055	576	974	479	529	484	452	437	899	652	831	1010
Abcf3	1787	922	1488	770	1040	698	877	972	1528	1225	1616	1747
Abcg1	483	227	403	187	232	139	171	204	293	263	335	479
Abcg2	35	10	26	15	26	16	13	30	49	27	28	37
Abcg3	51	39	48	16	50	13	15	35	33	44	63	33
Abcg3l1	178	96	135	84	102	68	93	121	122	159	157	176
Abcg3l2	30	7	26	15	11	12	22	4	38	24	24	38
Abcg3l3	288	156	294	123	206	106	188	213	260	216	385	436
Abcg4	388	209	424	161	214	168	192	293	384	291	487	633
Abcg5	3	3	4	0	0	0	2	2	2	8	5	15
Abcg8	1	0	0	1	2	1	0	0	2	4	3	1
Abhd1	115	80	141	84	94	70	64	72	121	95	128	156
Abhd10	2	4	2	2	2	0	0	2	0	0	0	1
Abhd11	180	80	154	85	102	73	75	96	131	117	166	200
Abhd12	904	488	756	412	478	354	333	353	575	522	622	698
Abhd12b	0	0	0	0	0	0	1	1	3	1	1	0
Abhd13	706	269	611	278	371	268	334	376	603	505	629	607
Abhd14a	485	246	341	289	367	267	258	269	482	340	462	535
Abhd14b	727	449	610	359	504	329	372	475	641	464	676	689
Abhd15	27	9	11	21	10	9	17	25	22	8	15	23
Abhd16a	840	428	801	322	434	322	426	423	666	524	737	808
Abhd16b	7	3	8	4	4	0	4	8	14	7	19	19
Abhd17a	1314	766	1324	560	657	550	749	964	1481	1124	1651	2021
Abhd17b	305	148	223	109	140	101	77	126	162	158	238	254
Abhd17c	290	154	225	100	96	105	95	92	198	187	218	234
Abhd2	359	118	327	170	203	163	146	155	302	276	308	333
Abhd3	26	25	36	19	25	24	15	20	41	14	30	22
Abhd4	1360	695	1201	553	579	516	541	608	1033	852	1104	1290
Abhd5	431	153	323	145	173	129	134	150	217	215	310	308
Abhd6	609	357	600	377	439	345	299	398	568	475	626	621
Abhd8	775	433	618	302	291	260	264	321	517	494	682	748
Abi1	1591	730	1419	729	907	664	619	753	1152	956	1323	1322
Abi2	1667	624	1587	687	1035	752	817	1035	1688	1379	1832	1917
Abi3	41	14	39	9	5	13	4	7	19	20	30	39
Abi3bp	2568	1224	2447	1498	2368	1469	1133	1779	2199	1101	2143	2174
Abl1	298	83	259	103	134	123	139	105	257	186	257	295
Abl2	1909	647	1587	699	931	639	747	829	1277	1272	1658	1954
Ablim1	497	166	360	201	239	136	300	330	464	361	594	589
Ablim2	4	1	3	3	0	0	1	3	4	4	6	3
Ablim3	235	104	221	32	35	36	87	91	135	159	236	283
Abo	54	29	50	28	27	25	21	25	39	36	57	55
Abo2	0	0	0	0	0	0	0	0	0	0	0	0
Abr	4121	1728	3666	1959	2200	1954	1841	2070	3661	2759	3330	3822
Abra	4	4	5	0	7	5	0	3	4	1	3	3
Abracl	324	190	234	106	124	92	147	123	197	255	253	345
Abt1	254	135	217	101	123	96	125	123	208	162	230	203
Abtb1	265	173	253	114	149	105	114	83	162	119	148	211
Abtb2	1076	545	1119	498	533	478	569	665	1041	864	1069	1262
Ac1576	37	15	30	22	28	19	18	28	31	33	26	45
Acaa1a	404	189	351	161	212	172	153	201	299	218	331	295
Acaa1b	10	10	18	4	6	7	4	7	7	6	4	10
Acaa2	1038	512	584	416	517	266	368	438	512	605	888	693
Acaca	2500	743	2255	1255	1272	1105	1028	970	2089	1696	2042	2230
Acacb	237	146	245	126	140	74	129	157	204	176	263	270
Acad10	133	96	196	77	144	88	73	136	190	97	224	194
Acad11	446	219	335	256	363	147	227	341	368	289	401	348
Acad8	468	252	441	202	281	254	208	212	359	291	334	431
Acad9	599	326	578	246	330	259	303	318	493	458	589	617
Acadl	947	484	810	446	466	355	399	438	722	582	734	761
Acadm	520	244	392	200	268	207	194	233	382	294	466	443
Acads	334	184	216	92	131	106	155	152	217	247	344	365
Acadsb	560	205	441	341	546	253	298	399	509	340	522	471
Acadvl	1142	617	1115	557	713	496	546	632	982	671	971	1036
Acan	128100	59710	138514	74279	49786	67565	49231	48459	134941	96127	92307	136041
Acap1	11	9	14	10	10	3	8	19	23	11	24	37
Acap2	2652	1030	2198	1182	1577	1203	1135	1415	1989	1746	2381	2365
Acap3	630	326	570	256	293	232	261	234	503	418	587	594
Acat1	1587	833	1477	674	984	689	705	828	1202	976	1197	1190
Acat2	372	139	256	155	196	109	151	177	306	226	290	365
Acbd3	3098	1738	3053	1351	1773	1252	1276	1715	2518	2177	3018	3082
Acbd4	251	145	254	173	233	145	140	159	213	151	251	253
Acbd5	453	185	379	145	260	150	183	267	289	281	401	381
Acbd6	701	418	574	312	403	321	350	437	604	438	623	628
Acbd7	0	0	1	0	0	0	0	0	0	0	0	0
Accs	284	142	278	138	180	135	133	118	246	214	209	224
Accsl	4	1	0	3	4	1	0	3	1	0	2	2
Acd	1005	509	1051	422	512	393	558	567	913	690	994	1188
Ace	37	12	36	65	44	39	38	32	47	11	18	42
Ace2	1	1	0	0	0	0	0	0	0	0	0	0
Ace3	0	0	0	0	0	0	0	0	0	0	0	0
Acer1	0	0	2	1	0	0	0	0	2	1	2	1
Acer2	65	49	67	42	69	31	31	58	82	36	70	77
Acer3	1168	590	1006	491	671	514	451	599	831	762	1084	1009
Ache	22	14	6	5	11	7	7	11	16	9	13	15
Acin1	8099	3748	8298	3686	4702	3294	3431	4367	6891	5481	7852	8496
Ackr1	9	6	2	4	4	0	3	5	2	3	1	0
Ackr2	0	0	0	5	1	2	2	3	2	0	1	0
Ackr4	64	30	59	77	80	62	19	43	42	40	49	35
Acly	6601	2855	6068	3116	3300	2812	3645	4120	7163	5132	6325	7689
Acmsd	0	0	0	0	0	0	0	0	0	0	0	0
Acn9	50	28	29	24	26	24	27	35	46	33	35	45
Acnat1	0	0	0	1	0	0	0	0	0	0	0	0
Acnat2	0	0	0	0	0	0	0	0	0	0	0	0
Aco1	1656	801	1465	751	827	679	634	702	1261	1010	1263	1422
Aco2	5506	2827	4712	2445	2810	2113	2327	2807	4466	3430	4432	4912
Acot1	25	7	15	12	8	10	6	8	11	11	9	20
Acot11	121	43	129	69	102	82	56	56	108	73	95	112
Acot12	0	0	0	1	0	0	1	0	5	6	0	1
Acot13	80	57	90	30	58	31	50	62	121	84	118	121
Acot2	186	93	164	87	92	72	65	81	121	89	128	145
Acot3	143	82	101	74	67	52	48	40	72	109	128	98
Acot4	7	3	0	1	1	0	0	2	1	0	0	0
Acot5	4	0	0	3	0	0	0	0	0	0	0	0
Acot6	2	0	0	1	0	0	0	1	4	2	1	0
Acot7	392	168	310	148	99	107	101	105	226	269	297	312
Acot8	67	34	71	35	32	14	30	39	63	48	70	72
Acot9	440	191	334	206	211	172	169	180	275	244	334	354
Acox1	1099	446	974	522	612	515	476	518	827	724	920	981
Acox2	21	4	14	5	15	2	6	10	13	7	11	13
Acox3	697	306	571	330	381	337	341	398	688	499	650	784
Acoxl	1	0	0	2	3	2	3	2	1	2	2	3
Acp1	149	62	103	59	101	67	59	91	118	91	160	141
Acp2	1140	550	971	481	482	468	419	491	842	723	914	999
Acp5	375	211	385	56	50	71	38	72	107	145	157	309
Acp6	431	203	313	159	204	157	162	214	319	228	365	382
Acpp	4	6	2	0	3	5	5	5	6	11	2	7
Acpt	114	61	98	49	89	31	62	85	112	101	158	161
Acr	12	1	12	7	2	2	2	0	5	1	5	3
Acrbp	189	95	189	82	92	80	89	102	117	96	156	153
Acrv1	1	0	0	0	0	0	0	0	2	0	0	0
Acsbg1	11	3	5	9	14	16	12	15	13	7	4	4
Acsbg2	0	0	0	0	0	0	2	0	0	0	0	2
Acsf2	1121	572	944	484	542	439	335	326	604	492	692	748
Acsf3	291	150	279	134	134	122	116	151	188	178	209	229
Acsl1	1266	463	1050	454	481	405	388	435	706	659	737	870
Acsl3	3306	1797	3005	1402	1906	1236	1308	1811	2371	2174	3241	2826
Acsl4	1015	445	977	499	669	464	594	780	1052	909	1141	1228
Acsl5	1009	459	776	443	531	379	475	551	850	697	909	933
Acsl6	71	38	97	30	49	28	67	95	140	162	190	211
Acsm1	13	3	10	4	10	11	5	3	8	7	10	10
Acsm2a	0	0	0	0	0	0	1	0	1	0	0	0
Acsm3	194	35	136	91	109	70	100	100	160	121	159	187
Acsm4	5	0	7	2	7	1	5	6	7	6	5	3
Acsm5	4	3	3	2	1	2	4	2	2	3	6	1
Acss1	149	55	139	83	121	91	67	90	146	54	99	130
Acss2	377	200	328	205	274	146	261	426	537	278	421	524
Acss3	338	150	302	131	184	142	153	176	291	228	384	374
Acta1	28	7	7	13	20	13	182	201	246	124	112	140
Acta2	365	175	259	114	156	108	234	380	514	309	608	603
Actb	36981	18412	27787	14689	14999	11928	12667	12739	22957	20341	21756	29125
Actbl2	0	0	0	0	0	1	0	0	0	0	1	0
Actc1	48	16	10	21	23	13	183	208	244	158	115	136
Actg1	596	329	471	223	325	218	176	243	441	389	429	518
Actg2	10	6	9	5	7	7	7	11	11	2	8	19
Actl10	24	13	41	20	23	11	17	18	32	17	28	33
Actl11	1	0	0	0	0	0	1	1	1	0	1	0
Actl6a	749	289	640	270	349	301	294	301	551	440	613	717
Actl6b	0	0	0	0	0	0	1	1	0	0	2	0
Actl7a	12	4	6	7	8	5	10	10	11	15	4	9
Actl7b	10	3	10	2	3	1	4	8	4	5	2	13
Actl9	0	0	0	0	0	0	0	0	0	0	0	0
Actl9b	0	0	0	0	0	0	0	0	0	0	0	0
Actn1	2766	1207	2470	1416	1303	1221	1130	1284	2392	1668	2009	2424
Actn2	33	13	17	11	7	10	49	54	76	36	34	39
Actn3	32	20	35	44	64	27	28	47	70	18	34	18
Actn4	10432	4826	9147	5141	4781	4411	4339	5321	9560	6604	8511	10088
Actr10	1278	621	1054	534	666	510	552	645	949	854	1004	1216
Actr1a	2531	1288	2198	994	1234	975	1020	1122	1805	1571	2151	2211
Actr1b	2260	1227	2182	859	1049	886	952	1139	1934	1429	2193	2338
Actr2	2035	819	1688	812	1051	830	755	921	1515	1396	1806	1838
Actr3	4191	2071	3486	1615	1896	1541	1438	1743	2764	2534	3269	3349
Actr3b	65	44	71	61	77	69	63	71	77	23	58	54
Actr5	207	105	197	79	88	65	86	96	129	107	157	162
Actr6	436	228	373	228	271	147	197	255	315	324	401	492
Actr8	732	382	703	345	384	306	355	426	592	481	711	684
Actrt1	0	0	0	0	0	0	0	0	0	0	0	0
Actrt2	0	0	0	0	0	0	0	0	0	0	0	0
Actrt3	0	0	0	1	0	1	1	0	1	0	1	0
Acvr1	1510	796	1228	534	586	509	438	457	799	737	1012	1014
Acvr1b	675	274	769	325	477	273	307	459	675	562	816	932
Acvr1c	3	0	1	1	5	0	0	1	0	0	0	1
Acvr2a	1145	556	951	506	662	470	430	476	743	613	852	948
Acvr2b	50	10	43	19	25	30	28	21	37	46	29	55
Acvrl1	568	277	487	273	325	224	231	363	461	293	499	561
Acy1	1156	727	1031	664	847	618	692	817	1235	750	1056	1240
Acy3	211	128	239	110	118	95	98	121	215	157	228	284
Acyp1	222	167	276	86	126	105	101	130	230	122	270	283
Acyp2	62	32	70	39	31	39	42	38	44	36	52	53
Ada	54	30	59	30	12	28	14	24	38	39	46	49
Adad1	3	1	3	0	2	1	1	2	3	5	1	9
Adad2	0	1	1	1	2	0	0	1	1	0	2	1
Adal	250	124	203	106	144	106	119	125	191	174	231	186
Adam10	925	375	732	359	403	383	395	409	613	521	757	780
Adam11	113	54	159	106	116	56	108	85	196	95	92	128
Adam12	2481	866	1998	1258	1115	1348	652	719	1463	838	1168	1229
Adam15	566	357	494	224	245	208	165	201	331	292	376	390
Adam17	3233	1397	2728	1378	1700	1101	1387	1698	2360	2059	2905	3064
Adam18	0	0	0	0	0	0	0	0	0	0	1	0
Adam19	1066	428	802	214	243	191	290	317	507	709	762	1096
Adam1a	116	69	157	59	65	70	72	81	129	93	143	160
Adam2	0	0	0	2	1	0	3	0	2	0	0	3
Adam22	593	162	404	275	292	222	268	265	337	437	441	413
Adam23	691	283	649	315	335	263	122	144	258	196	333	302
Adam24	0	0	0	0	0	0	0	0	0	0	0	0
Adam26a	0	0	0	0	0	0	0	0	0	0	0	0
Adam28	0	0	0	0	0	0	0	0	1	0	0	0
Adam30	2	0	0	0	2	0	4	0	4	0	0	1
Adam32	0	0	2	1	1	3	2	4	2	4	0	6
Adam33	273	146	336	254	328	140	320	326	397	228	344	388
Adam34	0	0	0	0	0	0	0	0	0	0	0	0
Adam34l	0	0	0	0	0	0	0	0	0	0	0	0
Adam3a	0	0	1	0	0	0	0	0	0	0	0	0
Adam4	29	6	17	16	15	13	9	14	11	19	18	26
Adam4l1	122	41	80	46	71	33	41	50	66	66	92	97
Adam5	0	0	0	0	0	0	0	0	0	0	0	0
Adam6	0	0	0	0	0	0	0	0	0	0	0	0
Adam7	0	0	0	0	0	0	0	0	0	1	0	0
Adam8	213	104	234	113	183	139	155	154	255	189	279	361
Adam9	1108	441	883	538	654	472	420	514	762	557	766	730
Adamdec1	0	0	0	0	0	0	0	0	0	0	0	0
Adamts1	1145	385	925	628	721	574	674	748	1092	809	950	1179
Adamts10	3977	2105	4170	1653	2377	1513	1427	1882	2447	1906	3316	3631
Adamts12	1060	335	839	422	506	301	448	493	653	539	757	957
Adamts14	752	355	700	248	214	190	266	274	555	529	611	773
Adamts15	714	323	605	379	485	314	256	344	465	336	454	468
Adamts16	17	14	19	5	1	3	1	4	0	2	7	16
Adamts17	1812	738	1460	453	346	531	240	230	449	629	729	857
Adamts18	260	77	221	78	44	59	117	70	145	208	322	304
Adamts19	293	137	273	154	193	116	125	140	170	192	241	296
Adamts2	1449	719	1095	618	601	474	542	628	990	894	1142	1174
