Geneid	GSM4081445	GSM4081446	GSM4081447	GSM4081448	GSM4081449	GSM4081450	GSM4081451	GSM4081452	GSM4081453	GSM4081442	GSM4081443	GSM4081444
DDX11L1	0	0	1	1	0	0	0	0	0	0	0	0
WASH7P	11	5	5	8	3	8	17	9	2	8	13	6
MIR6859-3	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
LOC729737	1	3	1	0	5	1	1	1	49	2	3	1
LOC100133331	4	5	1	2	0	1	4	0	0	1	4	16
LOC100132287	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0
MIR6723	1	1	2	2	0	1	0	1	0	1	0	0
LOC100288069	4	2	3	3	1	2	3	1	1	1	1	0
FAM87B	8	6	1	4	15	13	8	12	13	12	14	5
LINC00115	10	11	15	8	11	26	21	11	14	10	11	13
LINC01128	278	283	284	326	345	414	407	465	373	461	461	386
FAM41C	1	0	0	0	4	0	1	0	0	0	0	0
LOC100130417	3	2	0	5	4	5	2	3	2	6	3	0
SAMD11	16	12	20	15	19	25	27	27	19	30	25	18
NOC2L	4027	4499	4340	4730	5274	6096	4751	4668	4712	4486	4033	4027
KLHL17	308	363	362	329	397	437	419	427	398	429	404	312
PLEKHN1	59	48	60	50	61	66	83	62	49	64	53	48
PERM1	13	8	15	15	17	33	15	17	17	14	18	19
HES4	483	489	504	444	541	701	678	574	488	466	473	469
ISG15	5684	6052	5948	4602	5370	6719	7166	6594	6238	5239	5159	4838
AGRN	4935	5022	5176	5205	6344	7107	6923	6278	6004	6256	5183	5439
RNF223	1	3	1	1	9	0	4	1	1	0	5	1
C1orf159	194	203	215	200	235	255	250	245	215	247	221	201
LINC01342	0	0	0	2	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	1	2	1	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	9	7	1	0	0	0	1	0	0
