GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
GNAI3	ENSMUSG00000000001	78.97	73.17	109.75	89.30	131.66	100.84	103.01	87.76	97.93	74.96	74.96	72.16
PBSN	ENSMUSG00000000003	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDC45	ENSMUSG00000000028	30.91	32.40	37.63	30.53	37.88	36.31	32.55	30.58	29.46	32.68	15.62	23.42
H19	ENSMUSG00000000031	0.00	0.00	0.15	0.04	0.45	0.62	0.20	0.11	0.02	0.04	0.06	0.00
SCML2	ENSMUSG00000000037	0.00	0.02	0.03	0.14	0.12	0.09	0.17	0.09	0.19	0.07	0.14	0.00
APOH	ENSMUSG00000000049	0.24	0.00	0.20	0.00	0.00	0.00	0.11	0.11	0.20	0.00	0.22	0.23
NARF	ENSMUSG00000000056	17.60	23.88	18.27	27.09	18.35	21.27	16.57	31.62	13.30	21.00	21.65	24.38
CAV2	ENSMUSG00000000058	0.09	0.10	0.24	0.31	0.16	0.46	0.19	0.19	0.12	0.04	0.00	0.08
KLF6	ENSMUSG00000000078	11.67	11.11	8.42	11.93	16.96	15.24	10.25	15.37	15.91	13.80	20.41	15.97
SCMH1	ENSMUSG00000000085	17.81	12.71	13.17	12.81	18.30	15.53	13.66	18.43	6.59	4.34	0.24	0.31
COX5A	ENSMUSG00000000088	100.72	123.95	120.73	120.96	136.09	178.61	113.01	129.17	130.09	134.23	149.22	156.00
TBX2	ENSMUSG00000000093	0.13	0.07	0.08	0.04	0.07	0.00	0.21	0.03	0.04	0.05	0.14	0.01
TBX4	ENSMUSG00000000094	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.00
ZFY2	ENSMUSG00000000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NGFR	ENSMUSG00000000120	0.00	0.02	0.01	0.03	0.36	0.05	0.08	0.21	0.00	0.02	0.03	0.07
WNT3	ENSMUSG00000000125	0.02	0.00	0.05	0.10	0.03	0.08	0.02	0.02	0.01	0.00	0.03	0.01
WNT9A	ENSMUSG00000000126	0.00	0.01	0.03	0.06	0.00	0.00	0.00	0.01	0.08	0.05	0.00	0.00
FER	ENSMUSG00000000127	0.13	0.21	0.17	0.20	0.30	0.50	0.17	0.51	0.12	0.14	0.10	0.06
XPO6	ENSMUSG00000000131	46.77	44.45	41.96	46.60	53.03	50.99	48.33	54.08	42.30	43.59	33.74	30.57
TFE3	ENSMUSG00000000134	7.86	6.34	0.60	0.43	2.46	3.52	2.35	3.32	5.32	4.04	6.41	5.21
AXIN2	ENSMUSG00000000142	21.79	13.37	20.32	16.71	9.60	5.56	16.54	15.85	17.29	11.82	10.34	8.31
BRAT1	ENSMUSG00000000148	6.79	7.18	7.17	7.67	6.53	7.51	5.60	6.86	6.73	8.74	6.69	9.62
GNA12	ENSMUSG00000000149	9.38	9.09	9.73	10.24	12.22	12.70	15.32	12.03	12.53	13.79	17.85	15.14
SLC22A18	ENSMUSG00000000154	0.30	0.21	0.18	0.04	0.14	0.13	0.00	0.08	0.41	0.12	0.14	0.00
