GSM3357730	GSM3357729	GSM3357732	GSM3357731
0610005C13Rik	0.10203	0.0365948	0.0234616	0.0760685
0610007P14Rik	36.1296	34.5147	31.2046	31.5356
0610009B22Rik	18.948	18.6193	22.3554	17.7463
0610009L18Rik	0.917989	1.12781	0.984707	1.30297
0610009O20Rik	25.834	27.2891	22.6215	23.0297
0610010B08Rik	0.180198	0.198217	0.263326	0.185351
0610010F05Rik	7.55542	7.39597	7.61153	7.45545
0610010K14Rik	60.7715	59.4363	55.8818	55.4295
0610011F06Rik	14.9506	15.6861	16.8745	16.589
0610012G03Rik	27.0179	25.5361	27.478	25.3992
0610030E20Rik	5.15881	4.74336	4.15691	4.15984
0610031J06Rik	106.306	101.561	107.267	105.319
0610031O16Rik	0	0	0	0
0610037L13Rik	22.1109	21.3728	23.2893	22.1414
0610038B21Rik	0.757256	0.572297	0.489707	0.781064
0610039K10Rik	2.67323	2.50795	1.6423	0.934669
0610040B10Rik	1.76594	1.76081	0.364119	0.516774
0610040F04Rik	0.272272	0.174689	0.143524	0.0642943
0610040J01Rik	0	0.0156256	0	0
0610043K17Rik	0	0	0.0519517	0
1010001N08Rik	0	0	0.0460588	0.0373576
1100001G20Rik	0	0	0	0
1110001J03Rik	62.0065	58.5196	81.6726	65.5011
1110002L01Rik	3.54977	3.0696	3.66598	3.8137
1110004E09Rik	32.9629	33.2978	30.9771	31.403
1110004F10Rik	89.4916	86.8773	90.7632	84.2807
1110006O24Rik	2.70298	2.44446	2.13642	2.28955
1110007C09Rik	117.732	113.207	131.513	121.374
1110008F13Rik	45.9251	42.356	37.8849	39.5974
1110008L16Rik	4.34643	4.80868	4.74646	5.08452
1110008P14Rik	53.7097	51.5519	48.9099	46.8288
1110012L19Rik	10.1739	9.85388	9.10968	8.77956
1110015O18Rik	0.0136647	0	0	0
1110017D15Rik	0.210594	0.0382606	0.0949445	0.0769997
1110019D14Rik	1.61393	1.85062	1.9301	2.07808
1110020A21Rik	0.391553	0.521135	0.596857	0.594486
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	2.33641	2.50749	2.75638	1.96982
1110032F04Rik	0.130073	0.0877347	0.0544282	0.051498
1110034G24Rik	2.33629	1.58188	2.41303	1.87427
1110036E04Rik	0.0316735	0	0.0375518	0.0304545
1110037F02Rik	10.4073	10.6104	10.7868	11.7584
1110038B12Rik	214.005	202.714	183.227	171.074
1110038F14Rik	29.3732	29.7496	26.355	26.7272
