!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Hepatocytes
!perturbation	Dexamethasone
!disease	456 uM - 0.67 d
!end_metadata
IL1R2	0.104996
VIM	0.097946
GPR64	0.095127
SLC25A29	0.090651
STEAP4	0.089537
CYP1A1	0.086679
B4GALNT1	0.083505
FKBP5	0.076445
SESN1	0.073887
FAM117B	0.072406
DHCR24	0.070442
FER1L5	0.070153
FMO3	0.067831
SLC13A5	0.065780
B3GALNT1	0.065236
A2M	0.064581
TAT	0.063416
PLA2R1	0.063196
PROSER2	0.063130
PLA2G12A	0.062517
ZNF189	0.062299
ECE1	0.062041
TDO2	0.061981
PFKFB1	0.061468
ACAT2	0.061462
BBOX1	0.060188
PPARA	0.059653
PRND	-0.059546
MFSD2A	0.058854
ADH1C	0.057655
SOWAHC	0.057238
GUCY2C	0.057184
ACOX2	0.056319
CYP26B1	-0.056275
GUCD1	0.056122
GBP2	-0.055873
GPD1L	0.055360
CYP26A1	0.055031
SLC10A2	-0.053774
AASS	0.053612
PPL	0.052614
IGFALS	-0.052511
SERPINE1	0.052468
GPX2	-0.052072
CYTL1	0.051500
ABCA1	0.051213
LSS	0.050883
POLG2	0.050672
H6PD	0.050085
RAB11FIP5	0.048930
TSC22D3	0.048789
RDH16	0.048641
GCK	0.048198
UBD	0.047938
CPS1	0.047642
FGA	0.047582
ADORA2B	-0.047469
CLEC14A	0.047012
LRP3	0.046994
IDI1	0.046982
CLDN1	0.046904
FBXO31	0.046876
FAM220A	0.046835
DUOX2	-0.046400
HMGCS1	0.046359
PEX11A	0.045774
GRK5	0.045307
FAM49A	0.044837
ACSS2	0.044824
CLSPN	-0.044723
EDEM2	0.044516
HAO1	-0.044486
SQLE	0.044450
FLNC	-0.044354
ARHGEF26	0.043916
CXCR4	-0.043529
MICALL2	-0.042591
OMD	0.042486
PPCS	0.042222
SLC35D1	0.042154
ELOVL6	0.041508
EDEM1	0.041210
MBL2	-0.041069
FDFT1	0.040763
PRKAR1B	0.040755
GADD45B	0.040624
SLC26A1	-0.040608
SOX4	-0.040554
RCL1	0.040441
POR	0.040309
AGTR1	0.040261
ID3	-0.040217
PRNP	-0.040057
IGFBP1	0.039993
UGT2B17	0.039868
MARCKSL1	-0.039845
HMGCR	0.039656
SLC34A2	-0.039616
NRBF2	0.039520
LECT2	0.039385
GREM2	0.039039
FAM134B	0.038908
CYP27A1	0.038872
PAH	0.038833
RARRES1	0.038804
RHBDD2	0.038438
MVD	0.038395
GAS2	-0.038285
DAPK1	0.038239
ZNF354A	0.038167
ASPG	0.037874
CMBL	0.037799
ZNF703	-0.037459
NPY	0.037458
CA12	0.037319
HSD17B7	0.037295
VOPP1	-0.037258
SPNS2	0.037043
PROCR	0.037036
PCK1	-0.036977
THRSP	0.036826
MAT1A	0.036825
TSKU	0.036760
N4BP2L1	0.036584
SERPINB9	-0.036438
TLE1	0.036395
NR5A2	0.036281
TINAGL1	0.036189
PDLIM2	-0.035947
ALPL	0.035915
STAT3	0.035744
HERPUD1	0.035687
TMEM150C	0.035508
PHYH	0.035438
MAGEE1	-0.035437
USP2	0.035435
AVPR1A	-0.035384
NEURL3	-0.035331
NAGS	0.035094
CXCL10	-0.035056
SLC39A14	0.035054
IVNS1ABP	0.035032
ACO1	0.034846
TES	-0.034737
CYP51A1	0.034627
PCSK6	0.034411
MEX3B	-0.034380
CTH	0.034169
SLC43A1	0.033915
HACL1	0.033757
CHDH	0.033714
DHRS3	0.033323
GALE	0.033146
TBX15	-0.033122
HAO2	0.033028
P2RX7	0.032862
ADK	0.032855
HSD3B1	0.032837
SLC6A13	0.032805
ATOH8	0.032714
SLCO1B3	-0.032713
B3GALT6	0.032444
NEDD4L	0.032406
DBN1	-0.032362
CSAD	0.032334
FAM227A	-0.032218
SARDH	0.032207
KLF15	0.032194
DHDDS	0.032153
SMOC1	0.032149
BAAT	-0.032137
ABCG5	0.032121
SLC22A8	-0.032113
GNMT	0.032069
TCP11L2	0.031980
SMIM14	0.031918
PLAT	-0.031918
ACMSD	0.031889
SFXN1	0.031858
DDAH1	0.031750
GDA	0.031726
SLCO2A1	-0.031670
MARCH6	0.031651
FASN	0.031501
SLC25A33	0.031455
DUSP1	0.031403
FBXO27	-0.031340
IL33	0.031200
PAOX	0.031122
ARG1	0.031069
PKDCC	0.030977
BAIAP2	0.030857
AHCY	0.030737
NPAS2	-0.030715
DIO3	-0.030651
GLTSCR1	0.030611
MAP1LC3B	0.030498
ENC1	0.030464
HDC	0.030454
CCRN4L	-0.030452
FABP4	0.030444
UNC5B	0.030347
CDO1	0.030285
PDE4B	-0.030207
HGD	0.030183
FTCD	0.030182
PPARGC1B	0.030117
RSAD2	-0.030012
CD9	0.029955
NR1I2	0.029899
CBLB	0.029608
KIF26B	0.029556
SLC25A23	-0.029402
HSD17B2	-0.029286
PDK4	0.029214
TMEM71	-0.029160
SLC15A1	-0.029143
CDC42EP4	0.028957
PLEKHB1	-0.028928
ARL4D	0.028926
FAH	0.028805
LYVE1	-0.028804
PPAP2B	0.028796
OTUB2	0.028790
CYB5B	0.028649
CSRP1	-0.028566
ABCB4	0.028560
SLC12A3	0.028541
GRHL1	0.028508
DDAH2	-0.028337
GNPAT	0.028199
ACACA	0.028136
ADAMTSL4	0.028110
CD36	0.028064
SPSB4	0.028059
CPT2	0.027941
ABHD2	0.027910
SULT1B1	0.027887
LTB	-0.027865
DENND2C	-0.027796
CEBPD	0.027753
FHL2	-0.027741
UBE2G2	0.027716
TM7SF2	0.027710
CLPX	0.027595
LRP2	-0.027587
S1PR2	-0.027549
ST3GAL6	-0.027542
DUSP10	-0.027513
ACKR3	0.027452
SLC6A8	-0.027421
C6	0.027307
USP43	-0.027273
PRKAR2B	-0.027253
FGFR3	0.027234
GPR146	0.027195
G0S2	-0.027133
AACS	0.027122
SPATS2L	-0.027117
IGF1	0.027066
MAL2	0.027054
IFI44L	-0.027013
ABCC2	0.026912
TM4SF4	-0.026871
CTGF	0.026867
PNPLA2	0.026778
CRYM	-0.026769
MYLK	0.026688
F5	0.026654
KLF9	0.026635
NEK7	0.026533
CCNYL1	-0.026512
BHMT	0.026480
PGLYRP1	0.026446
LPL	0.026438
HOGA1	0.026429
RCAN1	-0.026356
OTC	-0.026326
CYP8B1	-0.026094
COMT	0.026082
HPS4	0.026067
PCSK9	0.026037
AGRN	-0.026035
HN1	-0.025978
FAM126B	0.025962
FDPS	0.025940
ZFP36	0.025882
STEAP3	-0.025874
PDE8A	0.025851
MLC1	0.025851
CA2	-0.025814
ILDR2	-0.025794
AQP9	-0.025774
MKNK2	0.025737
RHOC	-0.025679
PARP14	-0.025677
TNK2	0.025613
MANBA	-0.025557
GBP6	-0.025539
ERRFI1	0.025527
TEAD2	-0.025509
ACTA1	-0.025471
IP6K2	0.025468
PIK3R1	-0.025415
CCND1	0.025410
FOXO1	0.025405
ARHGAP22	-0.025400
TMEM38B	0.025395
IRF1	-0.025367
LCN2	0.025245
WFDC2	0.025225
RNF8	0.025125
CX3CL1	-0.025030
PANK1	0.025015
APAF1	-0.025008
SLC13A4	-0.024990
UPB1	0.024968
DDR1	-0.024881
SDC1	-0.024858
BCAR3	0.024828
TNFRSF21	-0.024769
